MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	0.045	0.55	0.045	0.55
0.099	0.045	0.55	0.045	0.55
0.2	0.045	0.55	0.045	0.55
0.3	0.045	0.55	0.045	0.55
0.399	0.045	0.55	0.045	0.55
0.499	0.045	0.55	0.045	0.55
0.599	0.04	3.85	0.04	3.85
0.7	0.04	0.75	0.04	0.75
0.8	0.04	0.9	0.04	0.9
0.9	0.045	1.1	0.045	1.1
1	0.035	1.3	0.035	1.3
1.099	0.04	1.5	0.04	1.5
1.199	0.04	1.65	0.04	1.65
1.299	0.045	1.9	0.045	1.9
1.399	0.04	2.05	0.04	2.05
1.499	0.045	2.25	0.045	2.25
1.6	0.035	2.45	0.035	2.45
1.7	0.045	2.65	0.045	2.65
1.799	0.035	2.8	0.035	2.8
1.9	0.045	3.05	0.045	3.05
1.999	0.035	3.2	0.035	3.2
2.1	0.045	3.4	0.045	3.4
2.2	0.035	3.6	0.035	3.6
2.3	0.045	3.8	0.045	3.8
2.4	0.035	4	0.035	4
2.5	0.045	4.15	0.045	4.15
2.6	0.04	4.35	0.04	4.35
2.7	0.045	4.55	0.045	4.55
2.8	0.045	4.75	0.045	4.75
2.9	0.05	4.95	0.05	4.95
3	0.045	5.15	0.045	5.15
3.1	0.055	5.35	0.055	5.35
3.2	0.055	5.55	0.055	5.55
3.3	0.065	5.75	0.065	5.75
3.4	0.07	5.95	0.07	5.95
3.5	0.085	6.1	0.085	6.1
3.599	0.09	6.3	0.09	6.3
3.7	0.105	6.5	0.105	6.5
3.8	0.11	6.7	0.11	6.7
3.9	0.12	6.9	0.12	6.9
4	0.115	7.1	0.115	7.1
4.1	0.115	7.25	0.115	7.25
4.2	0.11	7.45	0.11	7.45
4.3	0.105	7.65	0.105	7.65
4.4	0.105	7.8	0.105	7.8
4.5	0.095	8	0.095	8
4.6	0.09	8.2	0.09	8.2
4.7	0.08	8.4	0.08	8.4
4.8	0.08	8.6	0.08	8.6
4.9	0.07	8.8	0.07	8.8
5	0.07	9	0.07	9
5.1	0.065	9.2	0.065	9.2
5.2	0.08	9.4	0.08	9.4
5.3	0.08	9.55	0.08	9.55
5.4	0.095	9.75	0.095	9.75
