MIN=0	0	0	0	0
MAX=50	10	10	70	10
SCALE=50	5	5	10	5
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V	"Voltage" U_A1 / V
0	0.65	0.045	0.65	0.045
0.1	0.65	0.045	0.65	0.045
0.199	0.65	0.04	0.65	0.04
0.299	0.65	0.045	0.65	0.045
0.399	0.65	0.045	0.65	0.045
0.499	0.65	0.045	0.65	0.045
0.599	0.8	0.04	0.8	0.04
0.699	1	0.04	1	0.04
0.799	1.2	0.045	1.2	0.045
0.899	1.4	0.04	1.4	0.04
0.999	1.6	0.04	1.6	0.04
1.099	1.8	0.04	1.8	0.04
1.199	1.95	0.04	1.95	0.04
1.299	2.15	0.04	2.15	0.04
1.399	2.35	0.045	2.35	0.045
1.499	2.55	0.035	2.55	0.035
1.599	2.75	0.045	2.75	0.045
1.7	2.95	0.035	2.95	0.035
1.799	3.1	0.045	3.1	0.045
1.899	3.3	0.035	3.3	0.035
1.999	3.5	0.045	3.5	0.045
2.099	3.7	0.035	3.7	0.035
2.199	3.9	0.045	3.9	0.045
2.299	4.1	0.035	4.1	0.035
2.399	4.25	0.045	4.25	0.045
2.499	4.45	0.035	4.45	0.035
2.599	4.65	0.045	4.65	0.045
2.699	4.85	0.035	4.85	0.035
2.799	5.05	0.05	5.05	0.05
2.899	5.25	0.04	5.25	0.04
2.999	5.4	0.05	5.4	0.05
3.099	5.6	0.045	5.6	0.045
3.199	5.85	0.055	5.85	0.055
3.299	6	0.05	6	0.05
3.399	6.2	0.06	6.2	0.06
3.499	6.4	0.055	6.4	0.055
3.599	6.6	0.07	6.6	0.07
3.699	6.8	0.07	6.8	0.07
3.799	7	0.075	7	0.075
3.899	7.2	0.075	7.2	0.075
3.999	7.35	0.08	7.35	0.08
4.099	7.55	0.075	7.55	0.075
4.199	7.75	0.075	7.75	0.075
4.299	7.95	0.075	7.95	0.075
4.399	8.1	0.07	8.1	0.07
4.499	8.35	0.065	8.35	0.065
4.599	8.55	0.06	8.55	0.06
4.699	8.7	0.065	8.7	0.065
4.8	8.95	0.055	8.95	0.055
4.899	9.1	0.06	9.1	0.06
5	9.3	0.055	9.3	0.055
5.099	9.5	0.055	9.5	0.055
5.199	9.7	0.05	9.7	0.05
5.299	9.85	0.055	9.85	0.055
5.399	10.05	0.055	10.05	0.055
5.5	10.25	0.065	10.25	0.065
5.6	10.45	0.07	10.45	0.07
5.7	10.65	0.085	10.65	0.085
5.799	10.85	0.1	10.85	0.1
5.9	11	0.12	11	0.12
6	11.2	0.135	11.2	0.135
6.1	11.4	0.165	11.4	0.165
6.2	11.6	0.175	11.6	0.175
6.3	11.8	0.185	11.8	0.185
6.4	12	0.17	12	0.17
6.5	12.2	0.165	12.2	0.165
6.6	12.4	0.15	12.4	0.15
6.7	12.55	0.135	12.55	0.135
6.8	12.8	0.115	12.8	0.115
6.9	12.95	0.105	12.95	0.105
7	13.15	0.09	13.15	0.09
7.1	13.35	0.085	13.35	0.085
7.2	13.55	0.07	13.55	0.07
7.3	13.75	0.065	13.75	0.065
7.4	13.95	0.06	13.95	0.06
7.5	14.15	0.06	14.15	0.06
7.6	14.35	0.06	14.35	0.06
7.7	14.5	0.07	14.5	0.07
7.8	14.75	0.075	14.75	0.075
7.9	14.9	0.095	14.9	0.095
8	15.1	0.115	15.1	0.115
8.1	15.3	0.145	15.3	0.145
8.2	15.5	0.175	15.5	0.175
8.3	15.65	0.22	15.65	0.22
8.4	15.9	0.27	15.9	0.27
8.5	16.05	0.325	16.05	0.325
8.6	16.25	0.375	16.25	0.375
8.7	16.45	0.42	16.45	0.42
8.8	16.65	0.425	16.65	0.425
8.9	16.85	0.39	16.85	0.39
9	17	0.335	17	0.335
9.1	17.2	0.27	17.2	0.27
9.2	17.4	0.215	17.4	0.215
9.3	17.6	0.175	17.6	0.175
9.4	17.8	0.14	17.8	0.14
9.5	18	0.115	18	0.115
9.6	18.15	0.09	18.15	0.09
9.7	18.35	0.075	18.35	0.075
9.8	18.55	0.07	18.55	0.07
9.9	18.75	0.06	18.75	0.06
10	18.95	0.06	18.95	0.06
10.1	19.15	0.07	19.15	0.07
10.2	19.3	0.085	19.3	0.085
10.3	19.5	0.105	19.5	0.105
10.4	19.7	0.15	19.7	0.15
10.5	19.9	0.19	19.9	0.19
10.6	20.1	0.245	20.1	0.245
10.7	20.3	0.325	20.3	0.325
10.8	20.5	0.405	20.5	0.405
10.9	20.65	0.49	20.65	0.49
11	20.85	0.605	20.85	0.605
11.1	21.05	0.705	21.05	0.705
11.2	21.25	0.77	21.25	0.77
11.3	21.45	0.785	21.45	0.785
11.4	21.65	0.705	21.65	0.705
11.5	21.85	0.59	21.85	0.59
11.6	22.05	0.47	22.05	0.47
11.7	22.25	0.345	22.25	0.345
11.8	22.4	0.26	22.4	0.26
11.9	22.6	0.195	22.6	0.195
12	22.8	0.14	22.8	0.14
12.1	23	0.11	23	0.11
12.2	23.2	0.09	23.2	0.09
12.3	23.4	0.075	23.4	0.075
12.4	23.6	0.07	23.6	0.07
12.5	23.75	0.07	23.75	0.07
12.6	23.95	0.085	23.95	0.085
12.7	24.15	0.115	24.15	0.115
12.8	24.3	0.16	24.3	0.16
12.9	24.5	0.215	24.5	0.215
13	24.7	0.3	24.7	0.3
13.1	24.9	0.39	24.9	0.39
13.2	25.1	0.495	25.1	0.495
13.3	25.3	0.63	25.3	0.63
13.4	25.5	0.76	25.5	0.76
13.5	25.65	0.91	25.65	0.91
13.6	25.85	1.075	25.85	1.075
13.7	26.05	1.185	26.05	1.185
13.8	26.25	1.22	26.25	1.22
13.9	26.4	1.145	26.4	1.145
14	26.65	0.96	26.65	0.96
14.1	26.8	0.77	26.8	0.77
14.2	27	0.605	27	0.605
14.3	27.25	0.44	27.25	0.44
14.4	27.4	0.33	27.4	0.33
14.5	27.6	0.24	27.6	0.24
14.6	27.8	0.17	27.8	0.17
14.7	27.95	0.125	27.95	0.125
14.8	28.15	0.095	28.15	0.095
14.9	28.35	0.085	28.35	0.085
15	28.55	0.085	28.55	0.085
15.1	28.75	0.105	28.75	0.105
15.2	28.95	0.145	28.95	0.145
15.3	29.15	0.21	29.15	0.21
15.4	29.35	0.29	29.35	0.29
15.5	29.55	0.38	29.55	0.38
15.599	29.7	0.525	29.7	0.525
15.699	29.9	0.67	29.9	0.67
15.799	30.1	0.84	30.1	0.84
15.899	30.3	1.025	30.3	1.025
15.999	30.5	1.25	30.5	1.25
16.099	30.7	1.435	30.7	1.435
16.199	30.85	1.61	30.85	1.61
16.299	31.05	1.705	31.05	1.705
16.399	31.25	1.66	31.25	1.66
16.499	31.45	1.5	31.45	1.5
16.599	31.65	1.255	31.65	1.255
16.699	31.85	1.03	31.85	1.03
16.799	32	0.81	32	0.81
16.899	32.25	0.575	32.25	0.575
16.999	32.4	0.43	32.4	0.43
17.099	32.6	0.32	32.6	0.32
17.199	32.8	0.225	32.8	0.225
17.299	33	0.165	33	0.165
17.399	33.2	0.135	33.2	0.135
17.499	33.35	0.125	33.35	0.125
17.599	33.6	0.145	33.6	0.145
17.699	33.75	0.185	33.75	0.185
17.799	33.95	0.25	33.95	0.25
17.899	34.15	0.36	34.15	0.36
17.999	34.35	0.485	34.35	0.485
18.099	34.55	0.635	34.55	0.635
18.199	34.75	0.84	34.75	0.84
18.299	34.95	1.055	34.95	1.055
18.4	35.15	1.3	35.15	1.3
18.499	35.3	1.57	35.3	1.57
18.599	35.5	1.885	35.5	1.885
18.699	35.7	2.125	35.7	2.125
18.799	35.9	2.28	35.9	2.28
18.899	36.1	2.32	36.1	2.32
18.999	36.3	2.22	36.3	2.22
19.099	36.45	2.025	36.45	2.025
19.199	36.7	1.725	36.7	1.725
19.299	36.9	1.44	36.9	1.44
19.399	37.05	1.155	37.05	1.155
19.499	37.25	0.86	37.25	0.86
19.599	37.45	0.66	37.45	0.66
19.699	37.65	0.495	37.65	0.495
19.799	37.85	0.37	37.85	0.37
19.899	38.05	0.285	38.05	0.285
19.999	38.2	0.24	38.2	0.24
20.099	38.4	0.225	38.4	0.225
20.199	38.6	0.255	38.6	0.255
20.299	38.8	0.32	38.8	0.32
20.399	38.95	0.42	38.95	0.42
20.499	39.2	0.59	39.2	0.59
