# Strom: -0.01 A
# Magnetfeld: 0 mT
# Schnitt bei (739,474)
# Mittelung: 1 Pixel
# Magnetfeldsensor unkalibriertPixel ; Red Value
1;422
2;444
3;466
4;472
5;478
6;508
7;538
8;616
9;695
10;900
11;1106
12;1383
13;1661
14;1879
15;2097
16;2145
17;2193
18;2070
19;1947
20;1725
21;1503
22;1314
23;1126
24;978
25;831
26;740
27;649
28;592
29;535
30;508
31;482
32;474
33;467
34;455
35;444
36;447
37;451
38;437
39;424
40;427
41;431
42;458
43;486
44;493
45;500
46;514
47;529
48;601
49;673
50;787
51;902
52;1150
53;1398
54;1692
55;1987
56;2123
57;2260
58;2228
59;2197
60;2025
61;1854
62;1647
63;1441
64;1221
65;1002
66;875
67;748
68;692
69;637
70;599
71;562
72;533
73;504
74;486
75;469
76;462
77;455
78;451
79;447
80;458
81;469
82;462
83;455
84;452
85;449
86;470
87;491
88;509
89;527
90;581
91;635
92;692
93;749
94;911
95;1073
96;1317
97;1561
98;1856
99;2151
100;2252
101;2353
102;2301
103;2249
104;2081
105;1914
106;1711
107;1509
108;1303
109;1097
110;959
111;822
112;772
113;722
114;658
115;595
116;555
117;516
118;519
119;522
120;480
121;438
122;468
123;498
124;479
125;460
126;457
127;455
128;473
129;491
130;488
131;486
132;469
133;453
134;492
135;531
136;582
137;633
138;680
139;728
140;868
141;1008
142;1230
143;1452
144;1749
145;2047
146;2250
147;2453
148;2452
149;2451
150;2293
151;2135
152;1941
153;1747
154;1573
155;1399
156;1232
157;1066
158;945
159;824
160;748
161;673
162;633
163;593
164;585
165;577
166;535
167;493
168;489
169;486
170;471
171;456
172;460
173;464
174;454
175;444
176;464
177;484
178;485
179;487
180;493
181;500
182;513
183;526
184;550
185;575
186;601
187;628
188;697
189;766
190;859
191;953
192;1148
193;1343
194;1614
195;1885
196;2132
197;2380
198;2466
199;2553
200;2499
201;2446
202;2279
203;2113
204;1901
205;1689
206;1496
207;1303
208;1182
209;1061
210;940
211;819
212;762
213;706
214;658
215;611
216;594
217;577
218;540
219;504
220;510
221;516
222;511
223;506
224;502
225;498
226;502
227;507
228;497
229;487
230;491
231;496
232;501
233;506
234;503
235;500
236;523
237;546
238;558
239;571
240;592
241;613
242;655
243;697
244;761
245;826
246;955
247;1084
248;1265
249;1447
250;1719
251;1991
252;2232
253;2473
254;2534
255;2595
256;2558
257;2521
258;2405
259;2289
260;2097
261;1905
262;1707
263;1510
264;1362
265;1214
266;1086
267;959
268;898
269;837
270;775
271;713
272;674
273;635
274;606
275;578
276;575
277;573
278;563
279;553
280;537
281;522
282;512
283;502
284;531
285;560
286;535
287;511
288;511
289;511
290;523
291;535
292;525
293;516
294;515
295;515
296;526
297;538
298;552
299;566
300;599
301;633
302;646
303;660
304;704
305;749
306;796
307;844
308;955
309;1066
310;1211
311;1357
312;1595
313;1833
314;2048
315;2264
316;2451
317;2639
318;2705
319;2772
320;2720
321;2668
322;2554
323;2441
324;2275
325;2109
326;1881
327;1654
328;1533
329;1412
330;1290
331;1168
332;1061
333;955
334;909
335;864
336;797
337;731
338;710
339;689
340;673
341;657
342;645
343;633
344;613
345;593
346;575
347;558
348;558
349;558
350;570
351;582
352;567
353;553
354;552
355;551
356;541
357;531
358;534
359;538
360;551
361;564
362;593
363;622
364;594
365;566
366;591
367;617
368;612
369;607
370;632
371;657
372;659
373;662
374;691
375;720
376;721
377;722
378;795
379;868
380;917
381;966
382;1048
383;1130
384;1274
385;1419
386;1642
387;1865
388;2079
389;2293
390;2420
391;2548
392;2710
393;2872
394;2864
395;2856
396;2756
397;2657
398;2575
399;2493
400;2350
401;2208
402;2069
403;1931
404;1760
405;1590
406;1485
407;1381
408;1303
409;1226
410;1132
411;1039
412;989
413;939
414;899
415;859
416;833
417;808
418;785
419;762
420;724
421;686
422;673
423;660
424;678
425;697
426;667
427;637
428;647
429;657
430;634
431;611
432;611
433;611
434;612
435;613
436;621
437;629
438;624
439;620
440;621
441;622
442;625
443;629
444;622
445;615
446;604
447;593
448;598
449;604
450;638
451;673
452;649
453;626
454;633
455;640
456;628
457;617
458;646
459;675
460;668
461;662
462;698
463;735
464;726
465;717
466;747
467;777
468;806
469;835
470;847
471;859
472;939
473;1019
474;1084
475;1150
476;1217
477;1285
478;1399
479;1514
480;1680
481;1847
482;2065
483;2284
484;2448
485;2612
486;2710
487;2808
488;2895
489;2983
490;3017
491;3052
492;2991
493;2930
494;2893
495;2857
496;2821
497;2785
498;2629
499;2473
500;2312
501;2151
502;2065
503;1980
504;1867
505;1754
506;1689
507;1625
508;1545
509;1465
510;1363
511;1261
512;1208
513;1155
514;1108
515;1061
516;1036
517;1012
518;966
519;921
520;889
521;857
522;846
523;835
524;807
525;780
526;767
527;755
528;747
529;739
530;730
531;722
532;691
533;660
534;676
535;693
536;699
537;706
538;691
539;677
540;663
541;649
542;640
543;631
544;640
545;649
546;638
547;628
548;638
549;648
550;654
551;660
552;646
553;633
554;636
555;640
556;622
557;604
558;606
559;609
560;622
561;635
562;620
563;606
564;595
565;584
566;599
567;615
568;619
569;624
570;621
571;618
572;632
573;646
574;637
575;629
576;615
577;602
578;620
579;638
580;652
581;666
582;662
583;658
584;660
585;662
586;658
587;655
588;647
589;640
590;643
591;646
592;659
593;673
594;678
595;684
596;681
597;678
598;701
599;724
600;732
601;740
602;726
603;713
604;737
605;762
606;774
607;786
608;796
609;806
610;810
611;815
612;836
613;857
614;851
615;846
616;861
617;877
618;912
619;948
620;967
621;986
622;993
623;1001
624;1026
625;1052
626;1083
627;1114
628;1120
629;1126
630;1159
631;1192
632;1256
633;1321
634;1377
635;1434
636;1477
637;1521
638;1551
639;1581
640;1654
641;1727
642;1806
643;1885
644;1958
645;2031
646;2104
647;2177
648;2242
649;2308
650;2391
651;2475
652;2574
653;2674
654;2667
655;2661
656;2758
657;2856
658;2893
659;2930
660;3017
661;3105
662;3152
663;3200
664;3220
665;3240
666;3268
667;3296
668;3324
669;3353
670;3353
671;3354
672;3329
673;3305
674;3313
675;3322
676;3317
677;3312
678;3278
679;3245
680;3255
681;3265
682;3228
683;3191
684;3178
685;3165
686;3123
687;3081
688;3103
689;3125
690;3048
691;2972
692;2985
693;2999
694;2945
695;2892
696;2893
697;2894
698;2875
699;2856
700;2834
701;2812
702;2776
703;2741
704;2711
705;2681
706;2654
707;2628
708;2610
709;2593
710;2576
711;2559
712;2561
713;2564
714;2530
715;2497
716;2466
