# Strom: 0.08 A
# Magnetfeld: 0 mT
# Schnitt bei (739,474)
# Mittelung: 1 Pixel
# Magnetfeldsensor unkalibriertPixel ; Red Value
1;223
2;232
3;242
4;234
5;227
6;245
7;263
8;278
9;293
10;322
11;351
12;373
13;396
14;464
15;533
16;651
17;769
18;823
19;877
20;811
21;746
22;642
23;538
24;465
25;393
26;353
27;313
28;290
29;267
30;264
31;262
32;246
33;231
34;231
35;231
36;235
37;240
38;231
39;223
40;226
41;229
42;234
43;240
44;238
45;236
46;243
47;251
48;262
49;273
50;300
51;327
52;354
53;382
54;422
55;462
56;548
57;635
58;768
59;902
60;878
61;855
62;763
63;671
64;579
65;487
66;423
67;360
68;330
69;300
70;288
71;276
72;265
73;254
74;250
75;247
76;247
77;247
78;245
79;243
80;239
81;236
82;235
83;234
84;239
85;245
86;231
87;218
88;235
89;253
90;266
91;280
92;280
93;280
94;325
95;371
96;383
97;395
98;431
99;467
100;564
101;662
102;782
103;902
104;907
105;913
106;813
107;713
108;620
109;527
110;460
111;393
112;357
113;322
114;300
115;278
116;280
117;282
118;275
119;269
120;254
121;240
122;239
123;238
124;236
125;234
126;235
127;236
128;230
129;225
130;233
131;242
132;236
133;231
134;239
135;247
136;259
137;271
138;290
139;309
140;321
141;333
142;370
143;407
144;422
145;438
146;510
147;582
148;706
149;830
150;900
151;970
152;902
153;835
154;725
155;615
156;539
157;464
158;412
159;360
160;342
161;324
162;306
163;289
164;275
165;262
166;260
167;258
168;246
169;234
170;238
171;242
172;253
173;265
174;258
175;251
176;247
177;243
178;249
179;256
180;246
181;236
182;235
183;234
184;244
185;254
186;274
187;294
188;309
189;324
190;321
191;318
192;353
193;389
194;410
195;431
196;483
197;535
198;610
199;686
200;790
201;895
202;945
203;995
204;895
205;795
206;709
207;624
208;552
209;480
210;422
211;365
212;344
213;324
214;315
215;307
216;281
217;256
218;266
219;276
220;268
221;260
222;250
223;240
224;246
225;253
226;238
227;223
228;220
229;218
230;233
231;249
232;233
233;218
234;230
235;243
236;251
237;260
238;264
239;269
240;276
241;283
242;299
243;316
244;333
245;351
246;353
247;356
248;373
249;391
250;406
251;422
252;482
253;542
254;621
255;700
256;795
257;890
258;944
259;999
260;946
261;893
262;815
263;737
264;629
265;522
266;483
267;445
268;404
269;364
270;343
271;322
272;317
273;313
274;302
275;291
276;278
277;265
278;258
279;251
280;257
281;263
282;258
283;254
284;248
285;242
286;233
287;225
288;248
289;271
290;256
291;242
292;242
293;242
294;246
295;251
296;249
297;247
298;250
299;253
300;263
301;273
302;280
303;287
304;300
305;313
306;321
307;329
308;359
309;389
310;402
311;415
312;449
313;484
314;491
315;498
316;552
317;606
318;687
319;768
320;861
321;955
322;1005
323;1055
324;974
325;893
326;826
327;760
328;685
329;611
330;573
331;535
332;471
333;407
334;374
335;342
336;340
337;338
338;331
339;324
340;311
341;298
342;290
343;282
344;269
345;256
346;260
347;265
348;247
349;229
350;231
351;233
352;248
353;263
354;255
355;247
356;244
357;242
358;242
359;243
360;246
361;249
362;249
363;249
364;250
365;251
366;252
367;254
368;256
369;258
370;260
371;263
372;265
373;267
374;283
375;300
376;301
377;302
378;334
379;367
380;356
381;345
382;371
383;398
384;417
385;436
386;456
387;476
388;490
389;504
390;535
391;566
392;630
393;695
394;764
395;833
396;922
397;1012
398;1033
399;1055
400;1033
401;1012
402;916
403;820
404;764
405;708
406;654
407;600
408;537
409;475
410;447
411;420
412;399
413;378
414;363
415;349
416;341
417;334
418;329
419;324
420;314
421;305
422;301
423;298
424;286
425;274
426;278
427;283
428;286
429;289
430;291
431;294
432;286
433;278
434;278
435;278
436;278
437;278
438;283
439;289
440;293
441;298
442;280
443;263
444;284
445;305
446;302
447;300
448;291
449;283
450;289
451;296
452;295
453;294
454;302
455;311
456;309
457;307
458;303
459;300
460;296
461;293
462;315
463;338
464;339
465;340
466;339
467;338
468;356
469;374
470;391
471;409
472;403
473;398
474;432
475;466
476;460
477;455
478;479
479;504
480;501
481;498
482;539
483;580
484;584
485;589
486;628
487;668
488;708
489;749
490;807
491;866
492;939
493;1013
494;1067
495;1121
496;1155
497;1190
498;1178
499;1166
500;1108
501;1050
502;991
503;933
504;895
505;857
506;788
507;720
508;692
509;664
510;626
511;589
512;565
513;542
514;532
515;522
516;511
517;500
518;491
519;482
520;469
521;456
522;449
523;442
524;434
525;427
526;432
527;438
528;434
529;431
530;432
531;433
532;449
533;466
534;438
535;411
536;416
537;422
538;413
539;404
540;417
541;431
542;425
543;420
544;421
545;422
546;414
547;407
548;398
549;389
550;408
551;427
552;424
553;422
554;429
555;436
556;427
557;418
558;411
559;405
560;404
561;404
562;406
563;409
564;412
565;415
566;415
567;416
568;433
569;451
570;444
571;438
572;416
573;395
574;405
575;416
576;422
577;429
578;439
579;449
580;428
581;407
582;410
583;413
584;428
585;444
586;424
587;405
588;410
589;416
590;420
591;424
592;431
593;438
594;431
595;425
596;460
597;495
598;470
599;445
600;455
601;466
602;456
603;447
604;460
605;473
606;464
607;455
608;477
609;500
610;508
611;516
612;504
613;493
614;514
615;536
616;537
617;538
618;525
619;513
620;522
621;531
622;527
623;524
624;545
625;566
626;565
627;564
628;564
629;564
630;579
631;595
632;596
633;598
634;601
635;604
636;615
637;626
638;627
639;628
640;626
641;624
642;623
643;622
644;643
645;664
646;658
647;653
648;650
649;648
650;646
651;644
652;673
653;702
654;716
655;731
656;751
657;771
658;777
659;784
660;790
661;797
662;798
663;799
664;825
665;851
666;846
667;842
668;855
669;868
670;879
671;890
672;911
673;932
674;939
675;946
676;979
677;1012
678;1022
679;1033
680;1060
681;1088
682;1084
683;1081
684;1096
685;1112
686;1114
687;1117
688;1109
689;1101
690;1132
691;1163
692;1144
693;1126
694;1161
695;1197
696;1206
697;1215
698;1212
699;1210
700;1223
701;1237
702;1233
703;1230
704;1212
705;1195
706;1233
707;1272
708;1243
709;1214
710;1218
711;1223
712;1207
713;1192
714;1175
715;1159
716;1173
717;1188
718;1174
719;1161
720;1169
721;1177
722;1175
723;1174
724;1156
725;1139
726;1140
727;1141
728;1130
729;1119
730;1109
731;1099
732;1112
733;1126
734;1139
735;1152
736;1139
737;1126
738;1136
739;1146
740;1143
741;1141
742;1131
743;1121
744;1101
745;1081
746;1094
747;1108
748;1126
749;1144
750;1149
751;1154
752;1126
753;1099
754;1113
755;1128
756;1144
757;1161
758;1156
759;1152
760;1182
761;1212
762;1199
763;1186
764;1204
765;1223
766;1211
767;1199
768;1170
769;1141
770;1175
771;1210
772;1211
773;1212
774;1196
775;1181
776;1193
777;1206
778;1195
779;1185
780;1214
781;1243
782;1208
783;1174
784;1165
785;1157
786;1169
787;1181
788;1167
789;1154
790;1137
791;1121
792;1102
793;1084
794;1078
795;1072
796;1065
797;1059
798;1010
799;962
800;960
801;959
802;921
803;884
804;910
805;937
806;910
807;884
808;873
809;862
810;827
811;793
812;786
813;780
814;788
815;797
816;758
817;719
818;719
819;720
820;695
821;671
822;646
823;622
824;637
825;653
826;645
827;637
828;626
829;615
830;611
831;607
832;585
833;564
834;557
835;551
836;546
837;542
838;521
839;500
840;519
841;538
842;513
843;489
844;499
845;509
846;485
847;462
848;466
849;471
850;462
851;453
852;449
853;445
854;440
855;436
856;440
857;445
858;423
859;402
860;399
861;396
862;381
863;367
864;365
865;364
866;357
867;351
868;337
869;324
870;324
871;324
872;327
873;331
874;330
875;329
876;318
877;307
878;293
879;280
880;292
881;305
882;306
883;307
884;298
885;289
886;283
887;278
888;267
889;256
890;269
891;282
892;277
893;273
894;263
895;254
896;264
897;274
898;271
899;269
900;272
901;276
902;278
903;280
904;267
905;254
906;268
907;283
908;275
909;267
910;256
911;245
912;241
913;238
914;252
915;267
916;268
917;269
918;262
919;256
920;266
921;276
922;271
923;267
924;270
925;274
926;264
927;254
928;252
929;251
930;261
931;271
932;265
933;260
934;251
935;242
936;264
937;287
938;282
939;278
940;281
941;285
942;277
943;269
944;287
945;305
946;303
947;302
948;292
949;282
950;270
951;258
952;286
953;314
954;326
955;338
956;326
957;314
958;315
959;316
960;323
961;331
962;378
963;425
964;424
965;424
966;432
967;440
968;473
969;506
970;522
971;538
972;561
973;584
974;651
975;719
976;774
977;830
978;900
979;970
980;1003
981;1037
982;1048
983;1059
984;1056
985;1053
986;974
987;895
988;853
989;811
990;765
991;719
992;676
993;633
994;616
995;600
996;556
997;513
998;471
999;429
1000;442
1001;456
1002;440
1003;424
1004;419
1005;415
1006;388
1007;362
1008;365
1009;369
1010;347
1011;325
1012;318
1013;311
1014;307
1015;303
1016;294
1017;285
1018;273
1019;262
1020;254
1021;247
1022;247
1023;247
1024;249
1025;251
1026;247
1027;243
1028;241
1029;240
1030;252
1031;265
1032;250
1033;236
1034;241
1035;247
1036;246
1037;245
1038;256
1039;267
1040;259
1041;251
1042;246
1043;242
1044;244
1045;247
1046;249
1047;251
1048;266
1049;282
1050;269
1051;256
1052;263
1053;271
1054;272
1055;274
1056;276
1057;278
1058;283
1059;289
1060;293
1061;298
1062;296
1063;294
1064;314
1065;334
1066;339
1067;345
1068;365
1069;385
1070;426
1071;467
1072;501
1073;535
1074;576
1075;617
1076;718
1077;820
1078;858
1079;897
1080;945
1081;993
1082;984
1083;975
1084;900
1085;826
1086;762
1087;699
1088;661
1089;624
1090;567
1091;511
1092;475
1093;440
1094;427
1095;415
1096;409
1097;404
1098;384
1099;365
1100;364
1101;364
1102;329
1103;294
1104;294
1105;294
1106;299
1107;305
1108;287
1109;269
1110;266
1111;263
1112;275
1113;287
1114;267
1115;247
1116;245
1117;243
1118;228
1119;214
1120;231
1121;249
1122;245
1123;242
1124;247
