# Strom: 0.02 A
# Magnetfeld: 4 mT
# Schnitt bei (696,491)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;242
2;252
3;261
4;275
5;290
6;316
7;342
8;421
9;501
10;626
11;752
12;852
13;952
14;1027
15;1102
16;1051
17;1000
18;917
19;834
20;717
21;601
22;534
23;467
24;416
25;365
26;339
27;313
28;298
29;282
30;270
31;258
32;254
33;251
34;244
35;237
36;230
37;224
38;225
39;225
40;231
41;237
42;250
43;262
44;265
45;269
46;275
47;282
48;304
49;326
50;362
51;399
52;487
53;576
54;706
55;836
56;947
57;1059
58;1087
59;1116
60;1079
61;1042
62;946
63;850
64;744
65;637
66;561
67;484
68;432
69;381
70;353
71;325
72;306
73;287
74;275
75;264
76;260
77;256
78;256
79;256
80;250
81;244
82;246
83;248
84;249
85;250
86;248
87;246
88;251
89;257
90;260
91;264
92;279
93;294
94;310
95;326
96;361
97;395
98;481
99;567
100;665
101;762
102;881
103;1001
104;1059
105;1118
106;1136
107;1154
108;1069
109;983
110;880
111;777
112;693
113;609
114;543
115;476
116;436
117;395
118;355
119;316
120;311
121;306
122;286
123;267
124;266
125;266
126;264
127;262
128;256
129;250
130;250
131;251
132;244
133;238
134;242
135;247
136;252
137;257
138;260
139;263
140;267
141;272
142;283
143;295
144;315
145;336
146;371
147;407
148;461
149;516
150;625
151;734
152;837
153;940
154;1032
155;1123
156;1161
157;1199
158;1157
159;1116
160;1018
161;920
162;813
163;707
164;644
165;582
166;527
167;473
168;426
169;380
170;362
171;344
172;325
173;306
174;301
175;297
176;288
177;279
178;274
179;270
180;265
181;261
182;260
183;260
184;264
185;268
186;270
187;273
188;268
189;262
190;269
191;275
192;264
193;254
194;270
195;287
196;298
197;309
198;306
199;303
200;326
201;350
202;402
203;453
204;515
205;576
206;668
207;760
208;886
209;1011
210;1101
211;1191
212;1208
213;1226
214;1199
215;1172
216;1105
217;1038
218;942
219;847
220;767
221;688
222;617
223;546
224;501
225;455
226;419
227;383
228;372
229;361
230;342
231;324
232;310
233;295
234;294
235;292
236;293
237;294
238;286
239;278
240;271
241;264
242;273
243;282
244;280
245;278
246;285
247;292
248;287
249;282
250;285
251;288
252;288
253;288
254;297
255;307
256;310
257;312
258;318
259;325
260;340
261;355
262;370
263;385
264;413
265;441
266;500
267;559
268;645
269;731
270;824
271;917
272;1028
273;1140
274;1207
275;1275
276;1291
277;1306
278;1270
279;1234
280;1164
281;1094
282;1004
283;914
284;842
285;770
286;701
287;633
288;577
289;522
290;489
291;457
292;437
293;417
294;403
295;390
296;371
297;352
298;348
299;344
300;337
301;331
302;321
303;311
304;307
305;303
306;298
307;294
308;290
309;286
310;292
311;299
312;297
313;296
314;301
315;306
316;297
317;288
318;290
319;293
320;302
321;311
322;314
323;317
324;317
325;317
326;317
327;318
328;314
329;310
330;328
331;347
332;362
333;378
334;377
335;377
336;410
337;443
338;481
339;520
340;560
341;601
342;677
343;754
344;844
345;935
346;1043
347;1152
348;1202
349;1252
350;1276
351;1300
352;1311
353;1321
354;1278
355;1235
356;1168
357;1101
358;1053
359;1006
360;935
361;864
362;774
363;684
364;650
365;616
366;571
367;525
368;488
369;452
370;448
371;444
372;421
373;398
374;390
375;382
376;364
377;346
378;346
379;347
380;344
381;341
382;333
383;325
384;328
385;331
386;316
387;302
388;302
389;302
390;304
391;306
392;311
393;316
394;310
395;305
396;301
397;297
398;301
399;306
400;311
401;317
402;308
403;300
404;314
405;328
406;307
407;286
408;303
409;320
410;326
411;332
412;323
413;313
414;327
415;341
416;344
417;347
418;350
419;353
420;351
421;349
422;357
423;365
424;379
425;392
426;409
427;426
428;439
429;452
430;487
431;523
432;557
433;591
434;614
435;637
436;712
437;787
438;859
439;931
440;1016
441;1101
442;1164
443;1228
444;1276
445;1324
446;1385
447;1447
448;1433
449;1419
450;1415
451;1411
452;1356
453;1301
454;1265
455;1230
456;1173
457;1116
458;1052
459;988
460;942
461;896
462;831
463;766
464;734
465;703
466;653
467;603
468;598
469;594
470;569
471;545
472;508
473;471
474;468
475;466
476;444
477;422
478;413
479;404
480;400
481;395
482;386
483;376
484;370
485;365
486;361
487;357
488;355
489;354
490;351
491;349
492;346
493;343
494;331
495;320
496;320
497;321
498;322
499;324
500;323
501;321
502;315
503;309
504;322
505;336
506;324
507;313
508;317
509;320
510;313
511;306
512;300
513;293
514;290
515;288
516;296
517;304
518;302
