# Strom: -0.10 A
# Magnetfeld: 11 mT
# Schnitt bei (696,491)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;272
2;277
3;282
4;306
5;330
6;378
7;427
8;513
9;599
10;682
11;765
12;835
13;905
14;962
15;1019
16;998
17;977
18;905
19;834
20;749
21;665
22;583
23;502
24;448
25;395
26;354
27;312
28;305
29;298
30;286
31;275
32;275
33;275
34;265
35;255
36;247
37;240
38;241
39;242
40;247
41;252
42;257
43;262
44;267
45;272
46;284
47;296
48;329
49;363
50;426
51;489
52;567
53;645
54;728
55;812
56;889
57;967
58;1004
59;1041
60;1019
61;998
62;926
63;854
64;768
65;683
66;606
67;529
68;482
69;435
70;406
71;377
72;336
73;296
74;286
75;276
76;280
77;284
78;269
79;253
80;255
81;257
82;250
83;244
84;251
85;258
86;259
87;260
88;264
89;268
90;271
91;274
92;293
93;312
94;338
95;364
96;412
97;461
98;532
99;604
100;682
101;760
102;856
103;952
104;1016
105;1080
106;1079
107;1079
108;1029
109;979
110;896
111;812
112;735
113;658
114;577
115;496
116;478
117;461
118;410
119;360
120;338
121;317
122;298
123;279
124;275
125;271
126;269
127;266
128;261
129;255
130;261
131;266
132;261
133;257
134;258
135;259
136;253
137;247
138;266
139;285
140;286
141;287
142;302
143;318
144;340
145;362
146;414
147;465
148;528
149;592
150;670
151;748
152;833
153;917
154;974
155;1031
156;1063
157;1096
158;1085
159;1074
160;1004
161;935
162;862
163;789
164;717
165;644
166;568
167;492
168;471
169;451
170;410
171;370
172;347
173;324
174;316
175;308
176;294
177;280
178;278
179;276
180;270
181;264
182;270
183;277
184;269
185;262
186;276
187;290
188;278
189;265
190;272
191;280
192;280
193;281
194;292
195;303
196;312
197;320
198;333
199;346
200;381
201;416
202;479
203;542
204;593
205;645
206;715
207;786
208;879
209;971
210;1024
211;1078
212;1093
213;1108
214;1119
215;1130
216;1075
217;1021
218;950
219;879
220;805
221;732
222;667
223;603
224;551
225;500
226;462
227;424
228;400
229;376
230;364
231;351
232;348
233;346
234;322
235;299
236;299
237;300
238;295
239;291
240;289
241;288
242;289
243;290
244;285
245;279
246;281
247;283
248;282
249;280
250;282
251;285
252;291
253;298
254;306
255;315
256;324
257;332
258;337
259;342
260;359
261;377
262;409
263;441
264;479
265;517
266;584
267;651
268;712
269;773
270;852
271;931
272;991
273;1052
274;1093
275;1134
276;1156
277;1179
278;1170
279;1161
280;1121
281;1081
282;1015
283;949
284;877
285;805
286;739
287;673
288;630
289;586
290;535
291;484
292;470
293;455
294;432
295;410
296;389
297;369
298;365
299;361
300;353
301;346
302;332
303;318
304;305
305;293
306;303
307;312
308;312
309;312
310;310
311;309
312;298
313;288
314;298
315;308
316;311
317;315
318;315
319;316
320;317
321;319
322;309
323;300
324;306
325;313
326;318
327;324
328;336
329;348
330;345
331;343
332;370
333;397
334;417
335;437
336;473
337;510
338;551
339;591
340;647
341;704
342;761
343;818
344;871
345;925
346;988
347;1052
348;1097
349;1142
350;1173
351;1204
352;1205
353;1206
354;1193
355;1181
356;1142
357;1102
358;1055
359;1009
360;940
361;872
362;830
363;787
364;735
365;683
366;643
367;603
368;573
369;544
370;513
371;483
372;464
373;445
374;433
375;422
376;407
377;392
378;384
379;377
380;368
381;360
382;345
383;331
384;336
385;341
386;332
387;323
388;324
389;324
390;330
391;336
392;337
393;339
394;331
395;324
396;322
397;321
398;321
399;321
400;319
401;317
402;321
403;326
404;323
405;320
406;325
407;330
408;325
409;321
410;333
411;345
412;346
413;346
414;342
415;338
416;349
417;361
418;372
419;384
