# Strom: -0.07 A
# Magnetfeld: 0 mT
# Schnitt bei (739,474)
# Mittelung: 1 Pixel
# Magnetfeldsensor unkalibriertPixel ; Red Value
1;2083
2;1930
3;1777
4;1622
5;1467
6;1353
7;1239
8;1148
9;1058
10;998
11;939
12;900
13;861
14;829
15;797
16;765
17;734
18;714
19;693
20;700
21;706
22;704
23;702
24;697
25;693
26;718
27;744
28;766
29;788
30;806
31;825
32;850
33;875
34;930
35;985
36;1092
37;1200
38;1341
39;1482
40;1614
41;1747
42;1811
43;1876
44;1956
45;2035
46;2111
47;2186
48;2320
49;2454
50;2601
51;2749
52;2762
53;2775
54;2767
55;2759
56;2687
57;2616
58;2614
59;2612
60;2575
61;2539
62;2499
63;2459
64;2329
65;2199
66;2083
67;1966
68;1837
69;1708
70;1584
71;1460
72;1380
73;1300
74;1196
75;1092
76;1041
77;991
78;951
79;912
80;877
81;843
82;834
83;825
84;799
85;774
86;760
87;747
88;739
89;730
90;728
91;727
92;765
93;803
94;778
95;754
96;762
97;770
98;796
99;823
100;840
101;857
102;878
103;899
104;959
105;1019
106;1080
107;1142
108;1243
109;1344
110;1451
111;1558
112;1677
113;1797
114;1874
115;1951
116;2007
117;2063
118;2124
119;2185
120;2298
121;2411
122;2550
123;2689
124;2783
125;2877
126;2943
127;3008
128;2992
129;2975
130;2908
131;2841
132;2807
133;2774
134;2728
135;2683
136;2693
137;2702
138;2664
139;2627
140;2538
141;2449
142;2370
143;2292
144;2162
145;2032
146;1922
147;1812
148;1680
149;1548
150;1487
151;1425
152;1343
153;1262
154;1202
155;1143
156;1095
157;1048
158;995
159;942
160;918
161;895
162;884
163;874
164;859
165;845
166;823
167;801
168;802
169;803
170;786
171;769
172;762
173;755
174;771
175;788
176;796
177;805
178;792
179;779
180;784
181;788
182;807
183;826
184;841
185;857
186;862
187;867
188;904
189;941
190;966
191;990
192;1021
193;1051
194;1089
195;1128
196;1215
197;1302
198;1374
199;1446
200;1530
201;1615
202;1721
203;1827
204;1923
205;2018
206;2044
207;2070
208;2112
209;2154
210;2233
211;2313
212;2362
213;2411
214;2496
215;2581
216;2654
217;2728
218;2847
219;2966
220;3022
221;3077
222;3095
223;3113
224;3116
225;3120
226;3058
227;2996
228;2969
229;2943
230;2891
231;2839
232;2860
233;2882
234;2853
235;2824
236;2817
237;2811
238;2831
239;2852
240;2759
241;2666
242;2593
243;2520
244;2429
245;2338
246;2254
247;2170
248;2107
249;2045
250;1962
251;1880
252;1804
253;1729
254;1658
255;1588
256;1526
257;1465
258;1411
259;1358
260;1322
261;1287
262;1219
263;1151
264;1130
265;1110
266;1098
267;1085
268;1048
269;1010
270;989
271;968
272;947
273;926
274;925
275;924
276;910
277;896
278;879
279;861
280;846
281;831
282;829
283;827
284;828
285;829
286;831
287;834
288;820
289;806
290;814
291;822
292;818
293;814
294;802
295;791
296;793
297;796
298;811
299;826
300;825
301;825
302;843
303;861
304;838
305;815
306;828
307;842
308;846
309;850
310;866
311;882
312;888
313;895
314;897
315;899
316;890
317;881
318;918
319;956
320;962
321;969
322;967
323;966
324;997
325;1029
326;1062
327;1095
328;1110
329;1126
330;1169
331;1213
332;1233
333;1254
334;1305
335;1357
336;1378
337;1400
338;1478
339;1557
340;1595
341;1634
342;1703
343;1772
344;1831
345;1890
346;1920
347;1949
348;1991
349;2033
350;2090
351;2148
352;2175
353;2202
354;2212
355;2222
356;2238
357;2255
358;2301
359;2347
360;2338
361;2328
362;2352
363;2377
364;2399
365;2422
366;2459
367;2496
368;2523
369;2551
370;2570
371;2589
372;2608
373;2628
374;2692
375;2757
376;2772
377;2787
378;2827
379;2868
380;2907
381;2947
382;2977
383;3006
384;3036
385;3065
386;3140
387;3216
388;3230
389;3245
390;3246
391;3247
392;3278
393;3309
394;3331
395;3353
396;3365
397;3378
398;3383
399;3388
400;3397
401;3407
402;3392
403;3377
404;3404
405;3432
406;3382
407;3331
408;3340
409;3350
410;3338
411;3327
412;3328
413;3330
414;3302
415;3274
416;3290
417;3306
418;3290
419;3274
420;3265
421;3256
422;3234
423;3213
424;3197
425;3180
426;3170
427;3159
428;3158
429;3157
430;3180
431;3203
432;3167
433;3132
434;3141
435;3150
436;3153
437;3157
438;3163
439;3170
440;3158
441;3146
442;3138
443;3130
444;3098
445;3067
446;3073
447;3080
448;3095
449;3109
450;3078
451;3047
452;3078
453;3108
454;3090
455;3071
456;3080
457;3089
458;3086
459;3083
460;3091
461;3099
462;3093
463;3086
464;3085
465;3084
466;3073
467;3062
468;3083
469;3105
470;3084
471;3064
472;3065
473;3067
474;3085
475;3103
476;3078
477;3053
478;3113
479;3173
480;3163
481;3154
482;3107
483;3061
484;3069
485;3077
486;3086
487;3096
488;3114
489;3132
490;3118
491;3105
492;3093
493;3081
494;3089
495;3098
496;3109
497;3120
498;3120
499;3119
500;3079
501;3038
502;3052
503;3066
504;3116
505;3167
506;3192
507;3218
508;3219
509;3220
510;3234
511;3249
512;3196
513;3142
514;3210
515;3279
516;3264
517;3250
518;3257
519;3265
520;3298
521;3332
522;3317
523;3302
524;3312
525;3322
526;3310
527;3298
528;3356
529;3414
530;3424
531;3433
532;3485
533;3538
534;3518
535;3499
536;3510
537;3522
538;3549
539;3577
540;3597
541;3617
542;3634
543;3651
544;3629
545;3607
546;3614
547;3622
548;3581
549;3540
550;3549
551;3559
552;3559
553;3559
554;3533
555;3507
556;3460
557;3413
558;3390
559;3368
560;3352
561;3336
562;3286
563;3236
564;3200
565;3164
566;3117
567;3070
568;3048
569;3026
570;2962
571;2898
572;2866
573;2834
574;2824
575;2814
576;2790
577;2767
578;2761
579;2755
580;2745
581;2734
582;2707
583;2680
584;2677
585;2675
586;2625
587;2576
588;2563
589;2551
590;2526
591;2500
592;2461
593;2421
594;2382
595;2344
596;2302
597;2260
598;2172
599;2084
600;2032
601;1980
602;1930
603;1880
604;1828
605;1777
606;1705
607;1634
608;1601
609;1568
610;1508
611;1448
612;1413
613;1377
614;1320
615;1263
616;1246
617;1229
618;1216
619;1203
620;1181
621;1159
622;1108
623;1058
624;1058
625;1059
626;1039
627;1019
628;1027
629;1036
630;1006
631;976
632;984
633;993
634;971
635;949
636;938
637;927
638;921
639;916
640;903
641;889
642;878
643;868
644;888
645;908
646;902
647;897
648;896
649;895
650;889
651;883
652;895
653;907
654;896
655;885
656;866
657;847
658;866
659;885
660;888
661;892
662;897
663;902
664;893
665;883
666;916
667;950
668;948
669;947
670;954
671;962
672;961
673;960
674;983
675;1007
676;1012
677;1017
678;1039
679;1062
680;1076
681;1091
682;1128
683;1166
684;1197
685;1229
686;1292
687;1356
688;1380
689;1405
690;1459
691;1514
692;1592
693;1671
694;1758
695;1844
696;1991
697;2138
698;2222
699;2307
700;2452
701;2597
702;2713
703;2829
704;2926
705;3022
706;3068
707;3114
708;3134
709;3154
710;3179
711;3205
712;3210
713;3216
714;3229
715;3243
716;3300
717;3358
718;3461
719;3565
720;3608
721;3652
722;3677
723;3703
724;3711
725;3720
726;3621
727;3522
728;3418
729;3314
730;3201
731;3089
732;3032
733;2974
734;2894
735;2814
736;2784
737;2753
738;2700
739;2648
740;2570
741;2492
742;2426
743;2360
744;2200
745;2040
746;1895
747;1750
748;1659
749;1568
750;1479
751;1390
752;1305
753;1221
754;1193
755;1165
756;1133
757;1102
758;1069
759;1037
760;1021
761;1005
762;976
763;947
764;949
765;952
766;938
767;925
768;922
769;920
770;901
771;881
772;890
773;898
774;918
775;937
776;937
777;937
778;944
779;951
780;940
781;929
782;945
783;961
784;971
785;981
786;1014
787;1048
788;1064
789;1081
790;1100
791;1119
792;1187
793;1256
794;1337
795;1417
796;1478
797;1539
798;1672
799;1805
800;1939
801;2073
802;2245
803;2417
804;2577
805;2738
806;2871
807;3004
808;3069
809;3134
810;3149
811;3164
812;3211
813;3259
814;3368
815;3477
816;3518
817;3559
818;3658
819;3756
820;3721
821;3686
822;3609
823;3532
824;3380
825;3228
826;3121
827;3014
828;2908
829;2802
830;2773
831;2745
832;2670
833;2595
834;2415
835;2235
836;2057
837;1880
838;1751
839;1623
840;1459
841;1295
842;1233
843;1171
844;1123
845;1076
846;1056
847;1037
848;1016
849;995
850;983
851;972
852;957
853;942
854;916
855;890
856;914
857;938
858;924
859;910
860;918
861;926
862;935
863;943
864;959
865;974
866;986
867;997
868;1024
869;1051
870;1109
871;1167
872;1209
873;1251
874;1354
875;1456
876;1577
877;1697
878;1881
879;2065
880;2225
881;2385
882;2559
883;2733
884;2846
885;2959
886;3029
887;3099
888;3190
889;3281
890;3329
891;3377
892;3447
893;3518
894;3509
895;3500
896;3505
897;3510
898;3391
899;3272
900;3121
901;2970
902;2846
903;2722
904;2637
905;2551
906;2434
907;2316
908;2131
909;1946
910;1755
911;1564
912;1423
913;1281
914;1208
915;1135
916;1108
917;1081
918;1081
