# Strom: 0.09 A
# Magnetfeld: 0 mT
# Schnitt bei (739,474)
# Mittelung: 1 Pixel
# Magnetfeldsensor unkalibriertPixel ; Red Value
1;752
2;694
3;636
4;611
5;586
6;563
7;540
8;511
9;482
10;487
11;493
12;479
13;466
14;460
15;453
16;441
17;429
18;435
19;441
20;437
21;432
22;438
23;444
24;445
25;447
26;461
27;476
28;491
29;506
30;520
31;534
32;577
33;620
34;661
35;702
36;766
37;830
38;972
39;1113
40;1320
41;1526
42;1697
43;1869
44;1883
45;1898
46;1769
47;1641
48;1571
49;1501
50;1498
51;1495
52;1569
53;1643
54;1756
55;1870
56;1942
57;2015
58;1888
59;1761
60;1566
61;1370
62;1217
63;1064
64;958
65;852
66;794
67;736
68;704
69;672
70;633
71;594
72;572
73;550
74;531
75;513
76;503
77;494
78;504
79;514
80;501
81;488
82;473
83;457
84;460
85;462
86;459
87;455
88;450
89;444
90;459
91;474
92;478
93;483
94;486
95;490
96;499
97;508
98;521
99;534
100;553
101;573
102;582
103;592
104;626
105;659
106;716
107;772
108;851
109;929
110;1065
111;1201
112;1369
113;1537
114;1710
115;1883
116;1943
117;2003
118;1963
119;1923
120;1839
121;1756
122;1688
123;1621
124;1598
125;1576
126;1611
127;1646
128;1754
129;1862
130;1953
131;2043
132;2062
133;2081
134;1978
135;1875
136;1725
137;1575
138;1415
139;1255
140;1148
141;1041
142;972
143;903
144;835
145;766
146;729
147;693
148;674
149;656
150;645
151;634
152;608
153;582
154;566
155;550
156;548
157;547
158;544
159;540
160;524
161;507
162;506
163;505
164;502
165;499
166;503
167;507
168;496
169;484
170;499
171;513
172;503
173;493
174;487
175;480
176;491
177;502
178;517
179;532
180;535
181;538
182;549
183;561
184;566
185;572
186;581
187;590
188;603
189;616
190;634
191;652
192;676
193;701
194;731
195;761
196;823
197;886
198;953
199;1020
200;1122
201;1223
202;1364
203;1506
204;1624
205;1743
206;1906
207;2069
208;2122
209;2176
210;2144
211;2113
212;2052
213;1991
214;1940
215;1890
216;1822
217;1753
218;1727
219;1700
220;1723
221;1747
222;1776
223;1805
224;1875
225;1944
226;2030
227;2116
228;2199
229;2282
230;2316
231;2351
232;2313
233;2275
234;2152
235;2028
236;1896
237;1764
238;1659
239;1555
240;1451
241;1347
242;1234
243;1122
244;1081
245;1040
246;993
247;946
248;909
249;873
250;856
251;840
252;787
253;734
254;723
255;712
256;709
257;706
258;693
259;680
260;672
261;665
262;654
263;643
264;637
265;631
266;633
267;635
268;626
269;618
270;610
271;602
272;607
273;612
274;607
275;603
276;602
277;601
278;588
279;576
280;582
281;589
282;596
283;603
284;609
285;616
286;617
287;617
288;612
289;607
290;602
291;596
292;625
293;654
294;638
295;623
296;623
297;624
298;637
299;651
300;659
301;668
302;676
303;685
304;690
305;696
306;709
307;723
308;730
309;738
310;751
311;765
312;757
313;750
314;765
315;781
316;785
317;790
318;820
319;849
320;842
321;835
322;847
323;860
324;885
325;910
326;918
327;926
328;951
329;976
330;1006
331;1035
332;1055
333;1074
334;1111
335;1147
