# Strom: 0.02 A
# Magnetfeld: 4 mT
# Schnitt bei (696,491)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;289
2;310
3;331
4;360
5;389
6;444
7;500
8;579
9;658
10;795
11;933
12;983
13;1033
14;974
15;915
16;850
17;786
18;704
19;622
20;574
21;526
22;496
23;467
24;423
25;380
26;355
27;331
28;302
29;274
30;273
31;273
32;255
33;238
34;240
35;243
36;239
37;236
38;228
39;220
40;231
41;243
42;232
43;222
44;221
45;220
46;221
47;222
48;218
49;214
50;218
51;223
52;220
53;218
54;230
55;243
56;242
57;242
58;245
59;249
60;257
61;265
62;262
63;260
64;282
65;305
66;327
67;349
68;393
69;438
70;516
71;595
72;705
73;815
74;897
75;979
76;946
77;913
78;896
79;879
80;807
81;735
82;674
83;613
84;582
85;551
86;502
87;453
88;439
89;425
90;397
91;369
92;329
93;289
94;289
95;289
96;277
97;265
98;260
99;256
100;260
101;265
102;250
103;236
104;240
105;245
106;234
107;223
108;234
109;245
110;237
111;229
112;227
113;225
114;229
115;233
116;233
117;234
118;234
119;234
120;231
121;229
122;242
123;256
124;253
125;251
126;258
127;265
128;273
129;282
130;291
131;300
132;300
133;300
134;302
135;305
136;341
137;378
138;396
139;415
140;453
141;491
142;538
143;586
144;671
145;757
146;893
147;1030
148;1099
149;1168
150;1165
151;1163
152;1184
153;1206
154;1153
155;1101
156;1038
157;975
158;920
159;866
160;822
161;779
162;728
163;677
164;628
165;580
166;547
167;515
168;491
169;467
170;431
171;396
172;380
173;365
174;359
175;354
176;344
177;334
178;338
179;342
180;326
181;311
182;301
183;291
184;293
185;296
186;289
187;283
188;276
189;269
190;280
191;291
192;279
193;267
194;260
195;254
196;248
197;242
198;258
199;274
200;268
201;262
202;263
203;265
204;257
205;249
206;257
207;265
208;260
209;256
210;257
211;258
212;262
213;267
214;268
215;269
216;274
217;280
218;291
219;303
220;320
221;338
222;331
223;325
224;329
225;333
226;338
227;344
228;365
229;387
230;411
231;436
232;450
233;464
234;506
235;549
236;586
237;624
238;705
239;786
240;816
241;846
242;919
243;993
244;1041
245;1090
246;1062
247;1035
248;1056
249;1077
250;1037
251;997
252;961
253;926
254;893
255;861
256;823
257;786
258;738
259;691
260;659
261;628
262;613
263;598
264;553
265;509
266;493
267;478
268;462
269;447
270;427
271;407
272;375
273;344
274;352
275;360
276;338
277;316
278;306
279;296
280;307
281;318
282;303
283;289
284;284
285;280
286;281
287;283
288;274
289;265
290;269
291;274
292;274
293;274
294;277
295;280
296;274
297;269
298;261
299;254
300;265
301;276
302;269
303;262
304;262
305;262
306;252
307;242
308;241
309;240
310;254
311;269
312;255
313;242
314;250
315;258
316;254
317;251
318;253
319;256
320;249
321;243
322;257
323;271
324;270
325;269
326;265
327;262
328;252
329;242
330;248
331;254
332;253
333;253
334;263
335;274
336;261
337;249
338;256
339;263
340;263
341;263
342;264
343;265
344;278
345;291
346;280
347;269
348;285
349;302
350;289
351;276
352;290
353;305
354;301
355;298
356;311
357;324
358;317
359;311
360;308
361;305
362;311
363;318
364;314
365;311
366;305
367;300
368;303
369;307
370;327
371;347
372;355
373;364
374;373
375;382
376;367
377;353
378;374
379;395
380;403
381;411
382;413
383;416
384;425
385;435
386;452
387;469
388;494
389;520
390;529
391;538
392;549
393;560
394;587
395;615
396;627
397;640
398;662
399;684
400;744
401;804
402;827
403;850
404;850
405;851
406;905
407;959
408;958
409;957
410;1005
411;1053
412;1068
413;1083
414;1109
415;1135
416;1145
417;1155
418;1137
419;1119
420;1168
421;1217
422;1183
423;1150
424;1152
425;1154
426;1180
427;1206
428;1225
429;1245
430;1219
431;1194
432;1178
433;1163
434;1172
435;1181
436;1171
437;1161
438;1161
439;1161
440;1149
441;1137
442;1120
443;1103
444;1103
445;1103
446;1093
447;1084
448;1080
449;1077
450;1081
451;1086
452;1097
453;1108
454;1072
455;1037
456;1041
457;1046
458;1043
459;1041
460;1041
461;1041
462;1030
463;1019
464;1012
465;1006
466;1017
467;1028
468;1033
469;1039
470;1027
471;1015
472;1036
473;1057
474;1026
475;995
476;1001
477;1008
478;1008
479;1008
480;1030
481;1052
482;1048
483;1044
484;1039
485;1035
486;1019
487;1004
488;998
489;992
490;1032
491;1072
492;1062
493;1052
494;1046
495;1041
496;1042
497;1043
498;1082
499;1121
500;1099
501;1077
502;1084
503;1092
504;1111
505;1130
506;1134
507;1139
508;1134
509;1130
510;1147
511;1165
512;1165
513;1166
514;1186
515;1206
516;1201
517;1197
518;1188
519;1179
520;1185
521;1192
522;1170
523;1148
524;1168
525;1188
526;1191
527;1195
528;1199
529;1203
530;1198
531;1194
532;1211
533;1228
534;1242
535;1256
536;1238
537;1221
538;1235
539;1250
540;1254
541;1259
542;1279
543;1299
544;1282
545;1265
546;1316
547;1368
548;1345
549;1323
550;1332
551;1341
552;1355
553;1370
554;1384
555;1398
556;1375
557;1352
558;1362
559;1372
560;1415
561;1459
562;1423
563;1388
564;1363
565;1339
566;1347
567;1356
568;1345
569;1334
570;1337
571;1341
572;1328
573;1316
574;1284
575;1252
576;1243
577;1235
578;1220
579;1206
580;1180
581;1155
582;1128
583;1101
584;1058
585;1015
586;979
587;944
588;906
589;868
590;859
591;850
592;809
593;769
594;738
595;708
596;689
597;671
598;637
599;604
600;600
601;597
602;586
603;575
604;548
605;522
606;508
607;495
608;474
609;453
610;436
611;420
612;413
613;407
614;409
615;411
616;413
617;415
618;399
619;384
620;395
621;407
622;386
623;365
624;356
625;347
626;330
627;314
628;339
629;365
630;347
631;329
632;323
633;318
634;312
635;307
636;306
637;305
638;289
639;274
640;278
641;282
642;303
643;324
644;301
645;278
646;272
647;267
648;290
649;314
650;295
651;276
652;280
653;285
654;284
655;283
656;298
657;313
658;303
659;293
660;287
661;282
662;287
663;293
664;292
665;291
666;282
667;273
668;291
669;309
670;291
671;273
672;281
673;289
674;282
675;276
676;269
677;262
678;280
679;298
680;300
681;303
682;292
683;282
684;276
685;271
686;278
687;285
688;295
689;305
690;299
691;293
692;272
693;251
694;257
695;263
696;271
697;280
698;287
699;294
700;290
701;287
702;283
703;280
704;289
705;298
706;297
707;296
708;295
709;294
710;303
711;313
712;318
713;324
714;324
715;325
716;320
717;316
718;331
719;347
720;361
721;376
722;384
723;393
724;385
725;378
726;422
727;467
728;472
729;478
730;502
731;527
732;552
733;577
734;638
735;699
736;745
737;791
738;863
739;935
740;1002
741;1070
742;1152
743;1235
744;1277
745;1319
746;1314
747;1310
748;1281
749;1252
750;1189
751;1126
752;1059
753;992
754;910
755;828
756;743
757;658
758;624
759;591
760;547
761;504
762;487
763;471
764;439
765;407
766;399
767;391
768;367
769;344
770;335
771;327
772;322
773;318
774;328
775;338
776;322
777;307
778;303
779;300
780;297
781;294
782;304
783;314
784;299
785;285
786;284
787;283
788;275
789;267
790;275
791;283
792;286
793;289
794;284
795;280
796;285
797;291
798;286
799;282
800;286
801;291
802;292
803;294
804;292
805;291
806;297
807;303
808;300
809;298
810;310
811;322
812;312
813;302
814;307
815;313
816;333
817;353
818;371
819;389
820;373
821;358
822;384
823;411
824;437
825;464
826;485
827;507
828;561
829;615
830;649
831;684
832;760
833;837
834;932
835;1028
836;1132
837;1237
838;1311
839;1385
840;1506
841;1627
842;1643
843;1660
844;1614
845;1569
846;1462
847;1356
848;1198
849;1041
850;941
851;842
852;760
853;678
854;627
855;577
856;522
857;467
858;455
859;444
860;427
861;411
862;395
863;380
864;364
865;349
866;337
867;325
868;334
869;344
870;326
871;309
872;324
