# Strom: -0.03 A
# Magnetfeld: 7 mT
# Schnitt bei (696,491)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;309
2;332
3;356
4;400
5;444
6;495
7;546
8;629
9;713
10;797
11;881
12;944
13;1008
14;1018
15;1028
16;968
17;908
18;840
19;773
20;702
21;631
22;600
23;569
24;510
25;451
26;428
27;405
28;376
29;347
30;330
31;313
32;308
33;303
34;285
35;267
36;267
37;267
38;254
39;242
40;237
41;233
42;238
43;243
44;238
45;233
46;231
47;229
48;241
49;253
50;249
51;245
52;248
53;251
54;270
55;289
56;281
57;273
58;267
59;262
60;295
61;329
62;330
63;331
64;352
65;373
66;410
67;447
68;512
69;578
70;643
71;708
72;819
73;930
74;1004
75;1079
76;1132
77;1186
78;1138
79;1090
80;1051
81;1012
82;955
83;899
84;811
85;724
86;710
87;697
88;629
89;562
90;514
91;467
92;443
93;420
94;405
95;391
96;379
97;367
98;349
99;331
100;327
101;324
102;316
103;309
104;302
105;296
106;288
107;280
108;281
109;283
110;279
111;276
112;276
113;276
114;290
115;305
116;279
117;253
118;266
119;280
120;278
121;276
122;289
123;302
124;291
125;280
126;290
127;300
128;307
129;314
130;317
131;320
132;325
133;331
134;341
135;351
136;369
137;387
138;424
139;462
140;496
141;531
142;622
143;713
144;772
145;831
146;940
147;1050
148;1084
149;1119
150;1139
151;1159
152;1187
153;1215
154;1128
155;1041
156;1021
157;1001
158;946
159;891
160;840
161;790
162;734
163;678
164;622
165;566
166;539
167;513
168;479
169;445
170;438
171;431
172;405
173;380
174;371
175;362
176;349
177;336
178;334
179;333
180;321
181;309
182;304
183;300
184;281
185;263
186;264
187;265
188;261
189;258
190;266
191;274
192;279
193;285
194;268
195;251
196;249
197;247
198;258
199;269
200;266
201;263
202;263
203;263
204;278
205;293
206;282
207;271
208;272
209;273
210;283
211;293
212;291
213;289
214;281
215;273
216;296
217;320
218;309
219;298
220;311
221;325
222;326
223;327
224;358
225;389
226;383
227;378
228;405
229;433
230;455
231;478
232;493
233;509
234;593
235;678
236;695
237;713
238;786
239;859
240;925
241;992
242;1062
243;1132
244;1170
245;1208
246;1205
247;1203
248;1204
249;1206
250;1201
251;1197
252;1165
253;1134
254;1108
255;1083
256;1036
257;990
258;967
259;944
260;909
261;875
262;845
263;815
264;773
265;731
266;705
267;680
268;650
269;620
270;596
271;573
272;568
273;564
274;538
275;513
276;483
277;453
278;439
279;425
280;414
281;404
282;405
283;407
284;399
285;391
286;375
287;360
288;347
289;334
290;338
291;342
292;342
293;342
294;325
295;309
296;302
297;296
298;307
299;318
300;306
301;294
302;293
303;293
304;286
305;280
306;282
307;285
308;284
309;283
310;287
311;291
312;291
313;291
314;304
315;318
316;299
317;280
318;277
319;274
320;272
321;271
322;277
323;283
324;278
325;273
326;281
327;289
328;289
329;289
330;284
331;280
332;280
333;280
334;280
335;280
336;281
337;283
338;283
339;283
340;287
341;291
342;290
343;289
344;281
345;274
346;288
347;303
348;303
349;303
350;311
351;320
352;310
353;300
354;301
355;302
356;312
357;322
358;325
359;329
360;321
361;314
362;329
363;345
364;336
365;327
366;338
367;349
368;361
369;373
370;376
371;380
372;391
373;402
374;413
375;425
376;431
377;438
378;447
379;456
380;460
381;464
382;508
383;553
384;547
385;542
386;571
387;600
388;614
389;628
390;660
391;693
392;715
393;737
394;763
395;790
396;815
397;840
