# Strom: -0.33 A
# Magnetfeld: 24 mT
# Schnitt bei (696,491)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;630
2;679
3;728
4;775
5;822
6;841
7;861
8;870
9;879
10;933
11;988
12;1069
13;1150
14;1169
15;1189
16;1155
17;1122
18;1066
19;1011
20;985
21;960
22;957
23;954
24;972
25;990
26;909
27;828
28;758
29;688
30;631
31;574
32;539
33;505
34;482
35;460
36;441
37;422
38;424
39;427
40;462
41;497
42;550
43;604
44;650
45;696
46;764
47;832
48;848
49;864
50;886
51;908
52;924
53;940
54;1014
55;1089
56;1142
57;1195
58;1193
59;1191
60;1167
61;1143
62;1091
63;1040
64;1008
65;976
66;990
67;1005
68;1011
69;1018
70;962
71;906
72;838
73;771
74;712
75;653
76;602
77;552
78;514
79;476
80;481
81;486
82;460
83;433
84;451
85;470
86;492
87;514
88;580
89;647
90;698
91;750
92;787
93;824
94;858
95;893
96;893
97;894
98;918
99;942
100;991
101;1040
102;1113
103;1187
104;1233
105;1280
106;1255
107;1230
108;1174
109;1118
110;1071
111;1024
112;1010
113;996
114;1007
115;1018
116;1038
117;1059
118;998
119;936
120;864
121;792
122;728
123;664
124;614
125;565
126;540
127;516
128;490
129;464
130;453
131;442
132;454
133;465
134;483
135;500
136;529
137;557
138;627
139;697
140;729
141;762
142;825
143;888
144;901
145;914
146;920
147;927
148;942
149;958
150;1000
151;1043
152;1103
153;1162
154;1202
155;1242
156;1264
157;1287
158;1260
159;1234
160;1180
161;1125
162;1081
163;1037
164;1033
165;1030
166;1051
167;1073
168;1078
169;1082
170;1033
171;983
172;919
173;856
174;800
175;744
176;681
177;618
178;589
179;561
180;540
181;520
182;504
183;488
184;486
185;483
186;485
187;487
188;494
189;501
190;550
191;599
192;656
193;713
194;761
195;809
196;854
197;899
198;907
199;916
200;939
201;962
202;957
203;951
204;964
205;977
206;1038
207;1098
208;1155
209;1212
210;1263
211;1315
212;1317
213;1318
214;1285
215;1252
216;1229
217;1206
218;1140
219;1074
220;1076
221;1078
222;1090
223;1102
224;1118
225;1133
226;1109
227;1085
228;1054
229;1023
230;968
231;913
232;854
233;796
234;746
235;697
236;659
237;622
238;584
239;547
240;533
241;520
242;510
243;501
244;508
245;516
246;516
247;516
248;530
249;545
250;574
251;603
252;642
253;681
254;741
255;800
256;839
257;878
258;910
259;942
260;970
261;998
262;983
263;968
264;982
265;996
266;1003
267;1010
268;1044
269;1078
270;1131
271;1185
272;1244
273;1303
274;1348
275;1394
276;1381
277;1368
278;1339
279;1311
280;1244
281;1178
282;1161
283;1145
284;1110
285;1076
286;1090
287;1105
288;1133
289;1162
290;1172
291;1182
292;1151
293;1121
294;1108
295;1095
296;1050
297;1005
298;940
299;875
300;832
301;789
302;742
303;696
304;668
305;640
306;611
307;582
308;562
309;543
310;546
311;550
312;544
313;538
314;541
315;545
316;542
317;539
318;553
319;567
320;589
321;612
322;646
323;680
324;728
325;776
326;831
327;887
328;919
329;952
330;975
331;998
332;1012
333;1026
334;1015
335;1005
336;1003
337;1002
338;1028
339;1055
340;1053
341;1052
342;1095
343;1138
344;1169
345;1201
346;1258
347;1315
348;1360
349;1404
350;1416
351;1427
352;1406
353;1384
354;1374
355;1364
356;1351
357;1337
358;1257
359;1177
360;1150
361;1124
362;1108
363;1092
364;1110
365;1128
366;1153
367;1178
368;1209
369;1241
370;1234
371;1227
372;1225
373;1223
374;1176
375;1130
376;1085
377;1041
378;985
379;929
380;877
381;825
382;790
383;756
384;728
385;701
386;682
387;663
388;652
389;642
390;616
391;589
392;577
393;565
394;561
395;556
396;568
397;580
398;566
399;552
400;575
401;599
402;585
403;572
404;581
405;590
406;621
407;652
408;662
409;673
410;719
411;766
412;787
413;809
414;842
415;875
416;924
417;973
418;980
419;987
420;1013
421;1040
422;1046
423;1052
424;1049
425;1047
426;1036
427;1026
428;1033
429;1041
430;1065
431;1090
432;1087
433;1085
434;1090
435;1096
436;1129
437;1163
438;1203
439;1244
440;1292
441;1340
442;1366
443;1391
444;1424
445;1457
446;1470
447;1482
448;1480
449;1477
450;1464
451;1450
452;1426
453;1402
454;1368
455;1335
456;1307
457;1279
458;1243
459;1208
460;1190
461;1173
462;1147
463;1122
464;1135
465;1149
466;1151
467;1154
468;1156
469;1158
470;1193
471;1229
472;1256
473;1284
474;1267
475;1251
476;1265
477;1279
478;1257
479;1235
480;1224
481;1213
482;1167
483;1122
484;1106
485;1090
486;1032
487;974
488;953
489;933
490;909
491;885
492;843
493;801
494;776
495;751
496;740
497;728
498;713
499;698
500;675
501;652
502;645
503;638
504;629
505;619
506;616
507;614
508;598
509;583
510;572
511;562
512;566
513;570
514;561
515;552
516;552
517;553
518;559
519;565
520;574
521;582
522;574
523;565
524;574
525;583
526;582
527;581
528;591
529;602
530;604
531;607
532;610
533;613
534;639
535;665
536;664
537;663
538;697
539;732
540;743
541;754
542;776
543;798
544;825
545;852
546;880
547;909
548;928
549;947
550;976
551;1005
552;1028
553;1052
554;1045
555;1038
556;1053
557;1069
558;1081
559;1093
560;1076
561;1059
562;1068
563;1077
564;1105
565;1132
566;1109
567;1086
568;1081
569;1077
570;1064
571;1051
572;1072
573;1093
574;1084
575;1075
576;1074
577;1073
578;1059
579;1045
580;1050
581;1055
582;1061
583;1068
584;1065
585;1062
586;1068
587;1075
588;1066
589;1058
590;1059
591;1061
592;1105
593;1150
594;1142
595;1135
596;1156
597;1177
598;1199
599;1221
600;1241
601;1262
602;1273
603;1283
604;1294
605;1304
606;1342
607;1380
608;1385
609;1390
610;1418
611;1446
612;1470
613;1494
614;1472
615;1451
616;1484
617;1517
618;1522
619;1527
620;1531
621;1535
622;1541
623;1547
624;1550
625;1553
626;1556
627;1560
628;1558
629;1555
630;1553
631;1550
632;1539
633;1529
634;1525
635;1521
636;1507
637;1494
638;1497
639;1500
640;1484
641;1469
642;1456
643;1442
644;1442
645;1442
646;1420
647;1398
648;1402
649;1405
650;1379
651;1353
652;1345
653;1337
654;1351
655;1364
656;1349
657;1335
658;1311
659;1288
660;1286
661;1284
662;1281
663;1279
664;1275
665;1271
666;1268
667;1266
668;1257
669;1248
670;1239
671;1230
672;1210
673;1190
674;1206
675;1223
676;1217
677;1211
678;1214
679;1216
680;1204
681;1192
682;1205
683;1219
684;1205
685;1192
686;1191
687;1190
688;1183
689;1177
690;1190
691;1203
692;1193
693;1182
694;1166
695;1149
696;1167
697;1184
698;1168
699;1151
700;1147
701;1142
702;1157
703;1171
704;1173
705;1176
706;1187
707;1199
708;1180
709;1162
710;1163
711;1164
712;1183
713;1202
714;1197
715;1193
716;1204
717;1215
718;1200
719;1185
720;1199
721;1213
722;1212
723;1211
724;1210
725;1210
726;1228
727;1246
728;1246
729;1245
730;1249
731;1253
732;1255
733;1257
734;1247
735;1237
736;1265
737;1293
738;1306
739;1319
740;1305
741;1292
742;1307
743;1322
744;1337
745;1353
746;1348
747;1343
748;1346
749;1350
750;1388
751;1426
752;1408
753;1389
754;1404
755;1419
756;1439
757;1459
758;1468
759;1477
760;1484
761;1491
762;1486
763;1482
764;1506
765;1530
766;1527
767;1524
768;1548
769;1572
770;1542
771;1513
772;1530
773;1547
774;1517
775;1488
776;1491
777;1494
778;1478
779;1462
780;1459
781;1455
782;1430
783;1405
784;1394
785;1383
786;1353
787;1323
788;1324
789;1325
790;1303
791;1281
792;1234
793;1187
794;1176
795;1166
796;1155
797;1143
798;1124
799;1106
800;1099
801;1092
802;1078
803;1063
804;1036
805;1009
806;996
807;982
808;976
809;970
810;965
811;960
812;973
813;986
814;989
815;993
816;980
817;967
818;971
819;976
820;976
821;977
822;979
823;981
824;991
825;1000
826;1026
827;1051
828;1047
829;1042
830;1045
831;1047
832;1032
833;1017
834;1021
835;1025
836;1039
837;1053
838;1051
839;1049
840;1011
841;973
842;958
843;944
844;914
845;885
846;876
847;867
848;831
849;795
850;767
851;739
852;712
853;686
854;663
855;640
856;632
857;625
858;598
859;571
860;552
861;534
862;525
863;516
864;507
865;498
866;491
867;484
868;470
869;457
870;458
871;460
872;461
873;463
874;464
875;465
876;466
877;467
878;469
879;472
880;470
881;468
882;475
883;482
884;479
885;477
886;473
887;469
888;483
889;497
890;502
891;508
892;521
893;533
894;535
895;536
896;548
897;560
898;588
899;616
900;639
901;662
902;671
903;681
904;698
905;715
906;759
907;804
908;856
909;907
910;952
911;998
912;1049
913;1101
914;1141
915;1181
916;1199
917;1218
918;1224
919;1231
920;1223
921;1215
922;1188
923;1161
924;1114
925;1068
926;1031
927;994
928;994
929;994
930;964
931;935
932;953
933;971
934;1004
935;1038
936;1053
937;1069
938;1131
939;1192
940;1210
941;1228
942;1299
943;1370
944;1385
945;1400
946;1442
947;1485
948;1488
949;1492
950;1487
951;1483
952;1416
953;1349
954;1296
955;1243
956;1166
957;1090
958;1057
959;1024
960;1011
961;998
962;972
963;946
964;963
965;980
966;968
967;957
968;955
969;953
970;943
971;934
972;954
973;974
974;966
975;958
976;955
977;953
978;912
979;870
980;818
981;767
982;722
983;677
984;641
985;604
986;566
987;529
988;506
989;484
990;480
991;476
992;465
993;454
994;453
995;452
996;452
997;452
998;436
999;420
1000;429
1001;439
1002;445
1003;451
1004;451
1005;452
1006;473
1007;494
1008;518
1009;543
1010;558
1011;573
1012;609
1013;644
1014;688
1015;733
1016;801
1017;869
1018;915
1019;962
1020;1032
1021;1102
1022;1160
1023;1218
1024;1202
1025;1186
1026;1152
1027;1118
1028;1072
1029;1026
1030;1001
1031;976
1032;960
1033;944
1034;977
1035;1011
1036;1039
1037;1067
1038;1150
1039;1233
1040;1286
1041;1340
1042;1360
1043;1380
1044;1397
1045;1415
1046;1401
1047;1387
1048;1321
1049;1254
1050;1149
1051;1044
1052;1021
1053;999
1054;969
1055;939
1056;937
1057;934
1058;928
1059;922
1060;947
1061;971
1062;970
1063;970
1064;962
1065;954
1066;905
1067;856
1068;811
1069;766
1070;703
1071;641
1072;591
1073;541
1074;524
1075;508
1076;482
1077;455
1078;447
1079;439
1080;424
1081;410
1082;419
1083;429
1084;432
1085;436
1086;443
1087;451
1088;469
1089;487
1090;503
1091;518
1092;549
1093;581
1094;639
1095;697
1096;762
1097;827
1098;909
1099;990
1100;1053
1101;1116
1102;1141
1103;1166
1104;1132
1105;1098
1106;1045
1107;992
1108;964
1109;936
1110;943
1111;951
1112;989
1113;1028
1114;1117
1115;1207
1116;1258
1117;1309
1118;1358
1119;1407
1120;1386
1121;1365
1122;1290
1123;1214
1124;1121
1125;1027
1126;990
1127;954
1128;925
1129;897
1130;919
1131;942
1132;945
1133;948
1134;959
1135;971
1136;929
1137;888
1138;853
1139;818
1140;730
1141;642
1142;584
1143;526
1144;508
1145;491
1146;467
1147;443
1148;438
1149;432
1150;424
1151;416
1152;415
1153;413
1154;431
1155;450
1156;467
1157;485
1158;514
1159;544
1160;594
1161;645
1162;707
1163;769
1164;866
1165;963
1166;1039
1167;1115
1168;1133
1169;1151
1170;1088
1171;1024
1172;980
1173;936
1174;939
1175;943
1176;981
1177;1019
1178;1103
1179;1187
1180;1286
1181;1386
1182;1375
1183;1365
1184;1329
1185;1293
1186;1212
1187;1131
1188;1035
1189;939
1190;908
1191;877
1192;894
1193;912
1194;907
1195;902
1196;903
1197;905
1198;868
1199;832
1200;755
1201;677
1202;606
1203;535
1204;503
1205;471
1206;446
1207;422
1208;421
1209;420
1210;416
1211;413
1212;423
1213;434
1214;454
1215;475
1216;496
1217;518
1218;558
1219;598
1220;667
1221;737
1222;830
1223;924
1224;1026
1225;1128
1226;1100
1227;1072
1228;1033
1229;995
1230;945
1231;895
1232;910
1233;926
1234;1028
1235;1131
1236;1212
1237;1294
1238;1318
1239;1343
1240;1284
1241;1225
1242;1140
1243;1055
1244;986
1245;918
1246;892
1247;866
1248;878
1249;890
1250;913
1251;935
1252;889
