# Strom: -0.27 A
# Magnetfeld: 21 mT
# Schnitt bei (696,491)
# Mittelung: 1 Pixel
# Magnetfeldsensor kalibriertPixel ; Red Value
1;411
2;461
3;511
4;562
5;613
6;674
7;736
8;762
9;789
10;817
11;845
12;918
13;991
14;1008
15;1026
16;990
17;954
18;935
19;917
20;902
21;886
22;847
23;807
24;763
25;719
26;649
27;580
28;521
29;463
30;431
31;398
32;379
33;359
34;343
35;327
36;329
37;332
38;325
39;319
40;347
41;375
42;381
43;388
44;426
45;465
46;508
47;551
48;600
49;650
50;711
51;773
52;791
53;810
54;876
55;942
56;971
57;999
58;1032
59;1065
60;1034
61;1002
62;985
63;968
64;931
65;895
66;890
67;886
68;815
69;745
70;683
71;621
72;546
73;471
74;440
75;410
76;395
77;380
78;368
79;356
80;345
81;335
82;334
83;332
84;343
85;354
86;347
87;341
88;366
89;391
90;435
91;479
92;541
93;604
94;641
95;677
96;710
97;743
98;789
99;836
100;881
101;926
102;974
103;1022
104;1048
105;1073
106;1054
107;1036
108;1026
109;1017
110;990
111;963
112;951
113;939
114;900
115;861
116;803
117;745
118;683
119;622
120;567
121;513
122;479
123;444
124;423
125;403
126;387
127;371
128;362
129;352
130;350
131;348
132;349
133;350
134;352
135;354
136;367
137;379
138;408
139;438
140;465
141;492
142;556
143;620
144;669
145;717
146;760
147;803
148;824
149;845
150;883
151;921
152;971
153;1021
154;1052
155;1082
156;1078
157;1074
158;1079
159;1083
160;1043
161;1004
162;993
163;982
164;975
165;969
166;932
167;896
168;835
169;774
170;700
171;626
172;588
173;549
174;510
175;471
176;446
177;421
178;413
179;406
180;391
181;377
182;366
183;355
184;359
185;363
186;360
187;358
188;363
189;368
190;378
191;389
192;410
193;431
194;475
195;519
196;563
197;607
198;651
199;696
200;739
201;783
202;811
203;839
204;856
205;874
206;918
207;962
208;1010
209;1058
210;1104
211;1150
212;1140
213;1130
214;1111
215;1092
216;1067
217;1041
218;1031
219;1021
220;1008
221;996
222;958
223;921
224;899
225;877
226;820
227;764
228;717
229;671
230;624
231;578
232;545
233;512
234;483
235;455
236;440
237;425
238;430
239;434
240;402
241;371
242;379
243;388
244;388
245;389
246;390
247;391
248;400
249;410
250;405
251;401
252;414
253;427
254;457
255;487
256;529
257;571
258;615
259;659
260;700
261;742
262;785
263;829
264;848
265;866
266;886
267;906
268;934
269;962
270;1007
271;1053
272;1087
273;1121
274;1183
275;1245
276;1210
277;1175
278;1192
279;1208
280;1157
281;1107
282;1094
283;1082
284;1044
285;1007
286;1006
287;1005
288;1008
289;1011
290;969
291;927
292;871
293;816
294;754
295;693
296;649
297;605
298;580
299;556
300;529
301;502
302;488
303;474
304;458
305;443
306;438
307;434
308;424
309;414
310;414
311;414
312;417
313;420
314;408
315;397
316;401
317;404
318;405
319;407
320;412
321;417
322;444
323;471
324;478
325;485
326;515
327;545
328;583
329;622
330;674
331;727
332;753
333;779
334;810
335;840
336;865
337;890
338;891
339;892
340;913
341;935
342;959
343;982
344;1033
345;1084
346;1122
347;1160
348;1188
349;1217
350;1231
351;1245
352;1229
353;1214
354;1178
355;1142
356;1103
357;1064
358;1070
359;1076
360;1074
361;1071
362;1069
363;1067
364;1079
365;1091
366;1054
367;1016
368;985
369;955
370;924
371;894
372;849
373;805
374;761
375;717
376;686
377;655
378;630
379;606
380;572
381;537
382;535
383;533
384;504
385;476
386;467
387;457
388;445
389;433
390;442
391;451
392;436
393;422
394;432
395;441
396;436
397;431
398;432
399;432
400;424
401;415
402;428
403;441
404;446
405;451
406;446
407;441
408;450
409;460
410;481
411;503
412;508
413;513
414;538
415;563
416;590
417;616
418;651
419;686
420;729
421;772
422;798
423;823
424;846
425;868
426;896
427;924
428;913
429;902
430;911
431;920
432;938
433;956
434;960
435;965
436;991
437;1017
438;1062
439;1107
440;1134
441;1160
442;1185
443;1210
444;1241
445;1273
446;1272
447;1272
448;1268
449;1264
450;1256
451;1247
452;1231
453;1215
454;1203
455;1191
456;1141
457;1090
458;1098
459;1105
460;1106
461;1107
462;1103
463;1100
464;1105
465;1111
466;1106
467;1101
468;1109
469;1118
470;1088
471;1058
472;1019
473;981
474;982
475;982
476;936
477;890
478;853
479;816
480;787
481;758
482;726
483;695
484;673
485;652
486;636
487;621
488;607
489;594
490;574
491;554
492;531
493;508
494;512
495;516
496;506
497;495
498;485
499;475
500;473
501;471
502;463
503;455
504;449
505;442
506;437
507;433
508;431
509;429
510;442
511;455
512;448
513;442
514;449
515;457
516;453
517;448
518;446
519;443
520;437
521;431
522;449
523;468
524;455
525;443
526;444
527;446
528;448
529;451
530;450
531;450
532;451
533;453
534;450
535;447
536;457
537;467
538;486
539;505
540;495
541;484
542;504
543;525
544;532
545;539
546;535
547;531
548;548
549;565
550;574
551;584
552;609
553;635
554;661
555;688
556;709
557;730
558;742
559;755
560;764
561;774
562;793
563;813
564;824
565;836
566;868
567;900
568;904
569;908
570;926
571;944
572;942
573;940
574;939
575;939
576;958
577;977
578;978
579;979
580;963
581;947
582;976
583;1005
584;1003
585;1002
586;988
587;974
588;985
589;997
590;1006
591;1015
592;1019
593;1023
594;1039
595;1055
596;1058
597;1060
598;1067
599;1073
600;1093
601;1112
602;1120
603;1129
604;1140
605;1151
606;1164
607;1178
608;1197
609;1216
610;1218
611;1220
612;1222
613;1225
614;1231
