MIN=0	0	0	0	0
MAX=50	10	10	10	70
SCALE=50	5	5	5	10
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V
0	0.035	0.45	0.035	0.45
0.099	0.035	0.45	0.035	0.45
0.2	0.035	0.45	0.035	0.45
0.299	0.035	0.45	0.035	0.45
0.4	0.035	0.45	0.035	0.45
0.5	0.04	0.45	0.04	0.45
0.6	0.035	0.45	0.035	0.45
0.7	0.035	0.45	0.035	0.45
0.8	0.035	0.45	0.035	0.45
0.9	0.035	0.45	0.035	0.45
1	0.035	0.45	0.035	0.45
1.1	0.035	0.45	0.035	0.45
1.2	0.035	0.45	0.035	0.45
1.3	0.035	0.45	0.035	0.45
1.4	0.025	0.55	0.025	0.55
1.5	0.04	0.7	0.04	0.7
1.6	0.025	0.95	0.025	0.95
1.7	0.035	1.1	0.035	1.1
1.799	0.025	1.3	0.025	1.3
1.9	0.04	1.5	0.04	1.5
2	0.03	1.7	0.03	1.7
2.1	0.04	1.9	0.04	1.9
2.2	0.03	2.1	0.03	2.1
2.3	0.04	2.3	0.04	2.3
2.4	0.035	2.5	0.035	2.5
2.5	0.04	2.65	0.04	2.65
2.6	0.035	2.85	0.035	2.85
2.7	0.04	3.05	0.04	3.05
2.8	0.035	3.25	0.035	3.25
2.9	0.04	3.45	0.04	3.45
3	0.035	3.6	0.035	3.6
3.1	0.04	3.8	0.04	3.8
3.2	0.035	4	0.035	4
3.299	0.03	4.2	0.03	4.2
3.4	0.035	4.35	0.035	4.35
3.5	0.04	4.6	0.04	4.6
3.6	0.035	4.8	0.035	4.8
3.7	0.035	4.95	0.035	4.95
3.8	0.04	5.15	0.04	5.15
3.9	0.035	5.35	0.035	5.35
4	0.045	5.55	0.045	5.55
4.099	0.04	5.75	0.04	5.75
4.199	0.055	5.95	0.055	5.95
4.3	0.06	6.15	0.06	6.15
4.399	0.075	6.3	0.075	6.3
4.499	0.075	6.55	0.075	6.55
4.599	0.09	6.7	0.09	6.7
4.699	0.09	6.9	0.09	6.9
4.799	0.1	7.1	0.1	7.1
4.899	0.085	7.3	0.085	7.3
4.999	0.09	7.5	0.09	7.5
5.099	0.08	7.65	0.08	7.65
5.199	0.085	7.9	0.085	7.9
5.299	0.07	8.05	0.07	8.05
