MIN=0	0	0	0	0
MAX=50	10	10	70	10
SCALE=50	5	5	10	5
DEC=1	2	2	2	2
DEF="Time" t / s	"Voltage" U_B1 / V	"Anode" U_A / V	"Acceleration voltage" U_B / V	"Voltage" U_A1 / V
0	0.65	0.04	0.65	0.04
0.099	0.6	0.04	0.6	0.04
0.199	0.6	0.04	0.6	0.04
0.299	0.6	0.04	0.6	0.04
0.399	0.6	0.045	0.6	0.045
0.504	0.6	0.045	0.6	0.045
0.599	0.6	0.04	0.6	0.04
0.699	0.6	0.05	0.6	0.05
0.799	0.8	0.045	0.8	0.045
0.899	1	0.035	1	0.035
0.999	1.2	0.045	1.2	0.045
1.099	1.4	0.04	1.4	0.04
1.199	1.55	0.045	1.55	0.045
1.3	1.75	0.04	1.75	0.04
1.399	1.95	0.045	1.95	0.045
1.499	2.15	0.04	2.15	0.04
1.6	2.35	0.045	2.35	0.045
1.7	2.55	0.045	2.55	0.045
1.799	2.75	0.045	2.75	0.045
1.9	2.9	0.04	2.9	0.04
1.999	3.1	0.05	3.1	0.05
2.1	3.3	0.04	3.3	0.04
2.199	3.5	0.045	3.5	0.045
2.299	3.65	0.04	3.65	0.04
2.4	3.9	0.04	3.9	0.04
2.499	4.05	0.04	4.05	0.04
2.599	4.25	0.04	4.25	0.04
2.7	4.45	0.04	4.45	0.04
2.8	4.65	0.04	4.65	0.04
2.899	4.85	0.04	4.85	0.04
3	5.05	0.035	5.05	0.035
3.1	5.2	0.04	5.2	0.04
3.2	5.4	0.035	5.4	0.035
3.3	5.6	0.045	5.6	0.045
3.4	5.8	0.04	5.8	0.04
3.5	6	0.045	6	0.045
3.6	6.2	0.045	6.2	0.045
3.7	6.4	0.05	6.4	0.05
3.8	6.6	0.045	6.6	0.045
3.9	6.8	0.055	6.8	0.055
4	7	0.05	7	0.05
4.1	7.15	0.06	7.15	0.06
4.2	7.35	0.055	7.35	0.055
4.3	7.55	0.065	7.55	0.065
4.4	7.75	0.055	7.75	0.055
4.5	7.95	0.065	7.95	0.065
4.6	8.1	0.055	8.1	0.055
4.7	8.3	0.065	8.3	0.065
4.8	8.5	0.055	8.5	0.055
4.9	8.7	0.065	8.7	0.065
5	8.9	0.05	8.9	0.05
5.1	9.1	0.06	9.1	0.06
5.2	9.3	0.05	9.3	0.05
5.3	9.5	0.06	9.5	0.06
5.4	9.7	0.055	9.7	0.055
5.5	9.85	0.06	9.85	0.06
5.6	10.05	0.055	10.05	0.055
5.7	10.25	0.06	10.25	0.06
5.8	10.4	0.06	10.4	0.06
5.9	10.6	0.075	10.6	0.075
6	10.8	0.075	10.8	0.075
6.1	11	0.09	11	0.09
6.2	11.2	0.1	11.2	0.1
6.3	11.4	0.12	11.4	0.12
6.4	11.6	0.13	11.6	0.13
6.5	11.8	0.14	11.8	0.14
6.6	11.95	0.135	11.95	0.135
6.7	12.2	0.13	12.2	0.13
6.8	12.4	0.125	12.4	0.125
6.9	12.55	0.115	12.55	0.115
7	12.75	0.1	12.75	0.1
7.1	12.95	0.095	12.95	0.095
7.2	13.15	0.085	13.15	0.085
7.3	13.35	0.08	13.35	0.08
7.4	13.55	0.07	13.55	0.07
7.5	13.75	0.065	13.75	0.065
7.6	13.95	0.065	13.95	0.065
7.7	14.15	0.055	14.15	0.055
7.8	14.3	0.055	14.3	0.055
7.9	14.5	0.055	14.5	0.055
8	14.7	0.06	14.7	0.06
8.1	14.85	0.07	14.85	0.07
8.2	15.05	0.085	15.05	0.085
8.3	15.3	0.1	15.3	0.1
8.4	15.45	0.125	15.45	0.125
8.5	15.65	0.15	15.65	0.15
8.6	15.85	0.185	15.85	0.185
8.7	16	0.22	16	0.22
8.799	16.2	0.26	16.2	0.26
8.9	16.45	0.295	16.45	0.295
9	16.6	0.31	16.6	0.31
9.1	16.8	0.295	16.8	0.295
9.2	17	0.27	17	0.27
9.3	17.2	0.225	17.2	0.225
9.4	17.4	0.195	17.4	0.195
9.5	17.55	0.16	17.55	0.16
9.6	17.8	0.135	17.8	0.135
9.7	17.95	0.11	17.95	0.11
9.8	18.15	0.095	18.15	0.095
9.9	18.35	0.075	18.35	0.075
10	18.55	0.07	18.55	0.07
10.1	18.75	0.06	18.75	0.06
10.2	18.95	0.06	18.95	0.06
10.3	19.15	0.06	19.15	0.06
10.4	19.3	0.07	19.3	0.07
10.5	19.5	0.08	19.5	0.08
10.6	19.75	0.11	19.75	0.11
10.7	19.9	0.135	19.9	0.135
10.8	20.1	0.175	20.1	0.175
10.9	20.3	0.225	20.3	0.225
11	20.5	0.29	20.5	0.29
11.1	20.65	0.345	20.65	0.345
11.2	20.9	0.43	20.9	0.43
11.3	21.05	0.495	21.05	0.495
11.4	21.25	0.55	21.25	0.55
11.5	21.45	0.56	21.45	0.56
11.6	21.65	0.53	21.65	0.53
11.7	21.85	0.46	21.85	0.46
11.8	22	0.37	22	0.37
11.9	22.25	0.285	22.25	0.285
11.999	22.4	0.22	22.4	0.22
12.1	22.6	0.175	22.6	0.175
12.2	22.8	0.135	22.8	0.135
12.3	23	0.105	23	0.105
12.4	23.2	0.085	23.2	0.085
12.5	23.4	0.07	23.4	0.07
12.6	23.55	0.065	23.55	0.065
12.7	23.75	0.065	23.75	0.065
12.8	23.95	0.07	23.95	0.07
12.9	24.15	0.085	24.15	0.085
13	24.35	0.115	24.35	0.115
13.103	24.5	0.155	24.5	0.155
13.2	24.7	0.205	24.7	0.205
13.3	24.9	0.265	24.9	0.265
13.4	25.1	0.34	25.1	0.34
13.5	25.3	0.44	25.3	0.44
13.6	25.5	0.54	25.5	0.54
13.7	25.65	0.65	25.65	0.65
13.8	25.85	0.77	25.85	0.77
13.9	26.05	0.855	26.05	0.855
14	26.25	0.885	26.25	0.885
14.1	26.45	0.84	26.45	0.84
14.2	26.65	0.715	26.65	0.715
14.3	26.85	0.585	26.85	0.585
14.4	27	0.465	27	0.465
14.5	27.25	0.34	27.25	0.34
14.599	27.4	0.255	27.4	0.255
14.699	27.6	0.19	27.6	0.19
14.799	27.8	0.14	27.8	0.14
14.899	28	0.105	28	0.105
14.999	28.2	0.085	28.2	0.085
15.099	28.35	0.07	28.35	0.07
15.199	28.6	0.07	28.6	0.07
15.299	28.8	0.08	28.8	0.08
15.399	28.95	0.1	28.95	0.1
15.499	29.15	0.15	29.15	0.15
15.599	29.35	0.2	29.35	0.2
15.699	29.5	0.275	29.5	0.275
15.799	29.75	0.38	29.75	0.38
15.899	29.9	0.485	29.9	0.485
15.999	30.1	0.605	30.1	0.605
16.099	30.3	0.755	30.3	0.755
16.199	30.5	0.905	30.5	0.905
16.299	30.65	1.06	30.65	1.06
16.399	30.85	1.19	30.85	1.19
16.499	31.1	1.255	31.1	1.255
16.599	31.25	1.21	31.25	1.21
16.699	31.45	1.085	31.45	1.085
16.799	31.65	0.89	31.65	0.89
16.899	31.85	0.715	31.85	0.715
16.999	32.05	0.565	32.05	0.565
17.099	32.25	0.415	32.25	0.415
17.199	32.45	0.3	32.45	0.3
17.299	32.6	0.225	32.6	0.225
17.399	32.8	0.16	32.8	0.16
17.499	33	0.12	33	0.12
17.599	33.2	0.1	33.2	0.1
17.699	33.35	0.09	33.35	0.09
17.799	33.6	0.105	33.6	0.105
17.899	33.75	0.135	33.75	0.135
17.999	33.95	0.185	33.95	0.185
18.099	34.15	0.26	34.15	0.26
18.199	34.35	0.355	34.35	0.355
18.299	34.55	0.465	34.55	0.465
18.399	34.75	0.635	34.75	0.635
18.499	34.9	0.8	34.9	0.8
18.599	35.1	0.985	35.1	0.985
18.699	35.3	1.195	35.3	1.195
18.799	35.5	1.42	35.5	1.42
18.899	35.7	1.595	35.7	1.595
18.999	35.9	1.71	35.9	1.71
19.099	36.05	1.71	36.05	1.71
19.199	36.25	1.61	36.25	1.61
19.299	36.45	1.43	36.45	1.43
19.399	36.65	1.19	36.65	1.19
19.499	36.85	0.965	36.85	0.965
19.599	37.05	0.76	37.05	0.76
19.699	37.25	0.555	37.25	0.555
19.799	37.45	0.42	37.45	0.42
19.899	37.65	0.315	37.65	0.315
19.999	37.8	0.24	37.8	0.24
20.099	38	0.175	38	0.175
20.199	38.2	0.15	38.2	0.15
20.299	38.4	0.15	38.4	0.15
20.399	38.6	0.18	38.6	0.18
20.499	38.8	0.235	38.8	0.235
